year,series,module,code,variant,identical_across_variants,indicator,era,era_start,era_end,domain,setting,unit,measure,month,aggregation_rule,total,total_dedup,n_reporting_establishments,n_establishments_value_gt0,n_rows,n_rows_value,n_rows_zero,n_rows_empty,n_rows_exact_duplicate,months_covered,n_stable_panel_establishments,stable_panel_total,comparability_warning,note,source_file,script
2020,P,P2,P2500500,single_code,True,Autism spectrum disorder population under control,2019–2025,2019,2025,follow_up,NANEAS,people in stock,june_stock,06,stock MES=06; COL01; never summed with the other semester,172.0,172.0,28,28,28,28,0,0,0,1,13,122.0,Semiannual stock; changes in reporting establishments affect totals,,REM/SerieP/SerieP_2020.csv,lancet_americas/pipeline/02_rem_pathway.py
2021,P,P2,P2500500,single_code,True,Autism spectrum disorder population under control,2019–2025,2019,2025,follow_up,NANEAS,people in stock,june_stock,06,stock MES=06; COL01; never summed with the other semester,2434.0,2434.0,475,475,475,475,0,0,0,1,13,138.0,Semiannual stock; changes in reporting establishments affect totals,,REM/SerieP/SerieP_2021.csv,lancet_americas/pipeline/02_rem_pathway.py
2022,P,P2,P2500500,single_code,True,Autism spectrum disorder population under control,2019–2025,2019,2025,follow_up,NANEAS,people in stock,june_stock,06,stock MES=06; COL01; never summed with the other semester,5364.0,5364.0,765,765,765,765,0,0,0,1,13,260.0,Semiannual stock; changes in reporting establishments affect totals,,REM/SerieP/SerieP_2022.csv,lancet_americas/pipeline/02_rem_pathway.py
2023,P,P2,P2500500,single_code,True,Autism spectrum disorder population under control,2019–2025,2019,2025,follow_up,NANEAS,people in stock,june_stock,06,stock MES=06; COL01; never summed with the other semester,10523.0,10523.0,980,979,980,979,0,1,0,1,13,487.0,Semiannual stock; changes in reporting establishments affect totals,,REM/SerieP/SerieP_2023.csv,lancet_americas/pipeline/02_rem_pathway.py
2024,P,P2,P2500500,single_code,True,Autism spectrum disorder population under control,2019–2025,2019,2025,follow_up,NANEAS,people in stock,june_stock,06,stock MES=06; COL01; never summed with the other semester,17743.0,17743.0,1168,1168,1168,1168,0,0,0,1,13,582.0,Semiannual stock; changes in reporting establishments affect totals,,REM/SerieP/SerieP_2024.csv,lancet_americas/pipeline/02_rem_pathway.py
2025,P,P2,P2500500,single_code,True,Autism spectrum disorder population under control,2019–2025,2019,2025,follow_up,NANEAS,people in stock,june_stock,06,stock MES=06; COL01; never summed with the other semester,26195.0,26195.0,1256,1256,1256,1256,0,0,0,1,13,1373.0,Semiannual stock; changes in reporting establishments affect totals,,REM/SerieP/SerieP_2025.csv,lancet_americas/pipeline/02_rem_pathway.py
2019,P,P6,P6223000,broad_pre2021,True,P6 población bajo control en APS: TGD amplio (pre-2021),2019–2020,2019,2020,follow_up,primary_care,people in stock,december_stock,12,stock MES=12; COL01 summed over the family codes; never summed with the other semester,5520.0,5520.0,727,727,727,727,0,0,0,1,594,4837.0,Family sum over separately reported categories; establishments counted once if they report any family code; broad pre-2021 category cannot isolate autism,,REM/SerieP/SerieP_2019.csv,lancet_americas/pipeline/02_rem_pathway.py
2020,P,P6,P6223000,broad_pre2021,True,P6 población bajo control en APS: TGD amplio (pre-2021),2019–2020,2019,2020,follow_up,primary_care,people in stock,december_stock,12,stock MES=12; COL01 summed over the family codes; never summed with the other semester,5185.0,5185.0,695,694,695,694,1,0,0,1,594,4752.0,Family sum over separately reported categories; establishments counted once if they report any family code; broad pre-2021 category cannot isolate autism,,REM/SerieP/SerieP_2020.csv,lancet_americas/pipeline/02_rem_pathway.py
2019,P,P6,P6223000,broad_pre2021,True,P6 población bajo control en APS: TGD amplio (pre-2021),2019–2020,2019,2020,follow_up,primary_care,people in stock,june_stock,06,stock MES=06; COL01 summed over the family codes; never summed with the other semester,4864.0,4864.0,707,707,707,707,0,0,0,1,44,614.0,Family sum over separately reported categories; establishments counted once if they report any family code; broad pre-2021 category cannot isolate autism,,REM/SerieP/SerieP_2019.csv,lancet_americas/pipeline/02_rem_pathway.py
2020,P,P6,P6223000,broad_pre2021,True,P6 población bajo control en APS: TGD amplio (pre-2021),2019–2020,2019,2020,follow_up,primary_care,people in stock,june_stock,06,stock MES=06; COL01 summed over the family codes; never summed with the other semester,725.0,725.0,53,53,53,53,0,0,0,1,44,656.0,Family sum over separately reported categories; establishments counted once if they report any family code; broad pre-2021 category cannot isolate autism,,REM/SerieP/SerieP_2020.csv,lancet_americas/pipeline/02_rem_pathway.py
