year,variant,position,panel,activity,n_episodes_cell,n_invalid_dates,n_valid_dates,mean_days,sd_days,median_days,q25_days,q75_days,p90_days,max_days,total_days,n_los_zero,unit,denominator,script
2020,con_rett,principal,fixed65,all,163,0,163,28.9202,88.434,7.0,3.5,21.0,41.8,807.0,4714.0,13,días de estadía por episodio,n_valid_dates,lancet_americas/pipeline/11_grd_episode_detail.py
2020,con_rett,principal,fixed65,cma,2,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,días de estadía por episodio,n_valid_dates,lancet_americas/pipeline/11_grd_episode_detail.py
2020,con_rett,principal,fixed65,hospitalisation,161,0,161,29.2795,88.9255,7.0,4.0,21.0,42.0,807.0,4714.0,11,días de estadía por episodio,n_valid_dates,lancet_americas/pipeline/11_grd_episode_detail.py
2020,con_rett,principal,observed,all,163,0,163,28.9202,88.434,7.0,3.5,21.0,41.8,807.0,4714.0,13,días de estadía por episodio,n_valid_dates,lancet_americas/pipeline/11_grd_episode_detail.py
2020,con_rett,principal,observed,cma,2,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,días de estadía por episodio,n_valid_dates,lancet_americas/pipeline/11_grd_episode_detail.py
2020,con_rett,principal,observed,hospitalisation,161,0,161,29.2795,88.9255,7.0,4.0,21.0,42.0,807.0,4714.0,11,días de estadía por episodio,n_valid_dates,lancet_americas/pipeline/11_grd_episode_detail.py
2020,con_rett,secondary_only,fixed65,all,1470,0,1470,10.4279,56.5191,3.0,1.0,8.0,20.0,1463.0,15329.0,232,días de estadía por episodio,n_valid_dates,lancet_americas/pipeline/11_grd_episode_detail.py
2020,con_rett,secondary_only,fixed65,cma,81,0,81,0.0494,0.218,0.0,0.0,0.0,0.0,1.0,4.0,77,días de estadía por episodio,n_valid_dates,lancet_americas/pipeline/11_grd_episode_detail.py
2020,con_rett,secondary_only,fixed65,hospitalisation,1389,0,1389,11.0331,58.0876,3.0,1.0,8.0,20.0,1463.0,15325.0,155,días de estadía por episodio,n_valid_dates,lancet_americas/pipeline/11_grd_episode_detail.py
2020,con_rett,secondary_only,observed,all,1470,0,1470,10.4279,56.5191,3.0,1.0,8.0,20.0,1463.0,15329.0,232,días de estadía por episodio,n_valid_dates,lancet_americas/pipeline/11_grd_episode_detail.py
2020,con_rett,secondary_only,observed,cma,81,0,81,0.0494,0.218,0.0,0.0,0.0,0.0,1.0,4.0,77,días de estadía por episodio,n_valid_dates,lancet_americas/pipeline/11_grd_episode_detail.py
2020,con_rett,secondary_only,observed,hospitalisation,1389,0,1389,11.0331,58.0876,3.0,1.0,8.0,20.0,1463.0,15325.0,155,días de estadía por episodio,n_valid_dates,lancet_americas/pipeline/11_grd_episode_detail.py
2020,sin_rett,any,fixed65,all,1609,0,1609,12.2803,61.1166,3.0,1.0,8.0,22.0,1463.0,19759.0,244,días de estadía por episodio,n_valid_dates,lancet_americas/pipeline/11_grd_episode_detail.py
2020,sin_rett,any,fixed65,cma,83,0,83,0.0482,0.2155,0.0,0.0,0.0,0.0,1.0,4.0,79,días de estadía por episodio,n_valid_dates,lancet_americas/pipeline/11_grd_episode_detail.py
2020,sin_rett,any,fixed65,hospitalisation,1526,0,1526,12.9456,62.6892,4.0,1.0,9.0,23.0,1463.0,19755.0,165,días de estadía por episodio,n_valid_dates,lancet_americas/pipeline/11_grd_episode_detail.py
2020,sin_rett,any,observed,all,1609,0,1609,12.2803,61.1166,3.0,1.0,8.0,22.0,1463.0,19759.0,244,días de estadía por episodio,n_valid_dates,lancet_americas/pipeline/11_grd_episode_detail.py
2020,sin_rett,any,observed,cma,83,0,83,0.0482,0.2155,0.0,0.0,0.0,0.0,1.0,4.0,79,días de estadía por episodio,n_valid_dates,lancet_americas/pipeline/11_grd_episode_detail.py
2020,sin_rett,any,observed,hospitalisation,1526,0,1526,12.9456,62.6892,4.0,1.0,9.0,23.0,1463.0,19755.0,165,días de estadía por episodio,n_valid_dates,lancet_americas/pipeline/11_grd_episode_detail.py
2020,sin_rett,principal,fixed65,all,157,0,157,29.7325,90.0089,7.0,3.0,21.0,42.4,807.0,4668.0,13,días de estadía por episodio,n_valid_dates,lancet_americas/pipeline/11_grd_episode_detail.py
2020,sin_rett,principal,fixed65,cma,2,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,días de estadía por episodio,n_valid_dates,lancet_americas/pipeline/11_grd_episode_detail.py
2020,sin_rett,principal,fixed65,hospitalisation,155,0,155,30.1161,90.5273,8.0,4.0,21.0,42.6,807.0,4668.0,11,días de estadía por episodio,n_valid_dates,lancet_americas/pipeline/11_grd_episode_detail.py
2020,sin_rett,principal,observed,all,157,0,157,29.7325,90.0089,7.0,3.0,21.0,42.4,807.0,4668.0,13,días de estadía por episodio,n_valid_dates,lancet_americas/pipeline/11_grd_episode_detail.py
2020,sin_rett,principal,observed,cma,2,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,días de estadía por episodio,n_valid_dates,lancet_americas/pipeline/11_grd_episode_detail.py
2020,sin_rett,principal,observed,hospitalisation,155,0,155,30.1161,90.5273,8.0,4.0,21.0,42.6,807.0,4668.0,11,días de estadía por episodio,n_valid_dates,lancet_americas/pipeline/11_grd_episode_detail.py
2020,sin_rett,secondary_only,fixed65,all,1452,0,1452,10.3933,56.8494,3.0,1.0,7.0,19.0,1463.0,15091.0,231,días de estadía por episodio,n_valid_dates,lancet_americas/pipeline/11_grd_episode_detail.py
2020,sin_rett,secondary_only,fixed65,cma,81,0,81,0.0494,0.218,0.0,0.0,0.0,0.0,1.0,4.0,77,días de estadía por episodio,n_valid_dates,lancet_americas/pipeline/11_grd_episode_detail.py
