year,category,panel,n_episodes,sex,age_group
2021,F80,observed,143,HOMBRE,5-9
2021,F80,observed,6,HOMBRE,55-59
2021,F80,observed,6,HOMBRE,60-64
2021,F80,observed,11,HOMBRE,65-69
2021,F80,observed,7,HOMBRE,70-74
2021,F80,observed,4,HOMBRE,75-79
2021,F80,observed,99,MUJER,0-4
2021,F80,observed,20,MUJER,10-14
2021,F80,observed,5,MUJER,15-19
2021,F80,observed,11,MUJER,20-24
2021,F80,observed,4,MUJER,25-29
2021,F80,observed,4,MUJER,35-39
2021,F80,observed,4,MUJER,40-44
2021,F80,observed,64,MUJER,5-9
2021,F80,observed,5,MUJER,55-59
2021,F80,observed,5,MUJER,60-64
2021,F80,observed,1,MUJER,65-69
2021,F80,observed,4,MUJER,70-74
2021,F80,observed,3,MUJER,75-79
2021,F81,observed,114,,
2021,F81,fixed65,114,,
2021,F81,observed,5,HOMBRE,0-4
2021,F81,observed,24,HOMBRE,10-14
2021,F81,observed,5,HOMBRE,15-19
2021,F81,observed,3,HOMBRE,20-24
2021,F81,observed,14,HOMBRE,5-9
2021,F81,observed,23,MUJER,10-14
2021,F81,observed,17,MUJER,15-19
2021,F81,observed,8,MUJER,5-9
2021,F81,observed,1,MUJER,65-69
2021,F82,observed,291,,
2021,F82,fixed65,291,,
2021,F82,observed,110,HOMBRE,0-4
2021,F82,observed,17,HOMBRE,10-14
2021,F82,observed,11,HOMBRE,15-19
2021,F82,observed,3,HOMBRE,30-34
2021,F82,observed,3,HOMBRE,35-39
2021,F82,observed,23,HOMBRE,5-9
2021,F82,observed,84,MUJER,0-4
2021,F82,observed,12,MUJER,10-14
2021,F82,observed,3,MUJER,15-19
2021,F82,observed,3,MUJER,35-39
2021,F82,observed,1,MUJER,45-49
2021,F82,observed,17,MUJER,5-9
2021,F83,observed,328,,
2021,F83,fixed65,328,,
2021,F83,observed,114,HOMBRE,0-4
2021,F83,observed,14,HOMBRE,10-14
2021,F83,observed,4,HOMBRE,15-19
2021,F83,observed,2,HOMBRE,25-29
2021,F83,observed,1,HOMBRE,40-44
2021,F83,observed,41,HOMBRE,5-9
2021,F83,observed,1,HOMBRE,50-54
2021,F83,observed,100,MUJER,0-4
2021,F83,observed,8,MUJER,10-14
2021,F83,observed,1,MUJER,25-29
2021,F83,observed,1,MUJER,35-39
2021,F83,observed,26,MUJER,5-9
2021,F84,observed,2399,,
2021,F84,fixed65,2399,,
2021,F84,observed,364,HOMBRE,0-4
2021,F84,observed,446,HOMBRE,10-14
2021,F84,observed,200,HOMBRE,15-19
2021,F84,observed,85,HOMBRE,20-24
2021,F84,observed,59,HOMBRE,25-29
2021,F84,observed,32,HOMBRE,30-34
2021,F84,observed,19,HOMBRE,35-39
2021,F84,observed,6,HOMBRE,45-49
2021,F84,observed,571,HOMBRE,5-9
2021,F84,observed,6,HOMBRE,50-54
2021,F84,observed,3,HOMBRE,60-64
2021,F84,observed,2,HOMBRE,70-74
2021,F84,observed,3,HOMBRE,80+
2021,F84,observed,119,MUJER,0-4
2021,F84,observed,199,MUJER,10-14
2021,F84,observed,79,MUJER,15-19
2021,F84,observed,19,MUJER,20-24
2021,F84,observed,16,MUJER,25-29
2021,F84,observed,11,MUJER,30-34
2021,F84,observed,10,MUJER,35-39
2021,F84,observed,2,MUJER,40-44
2021,F84,observed,129,MUJER,5-9
2021,F84,observed,3,MUJER,50-54
2021,F84,observed,1,MUJER,75-79
2021,F84,observed,1,unknown,5-9
2021,F88,observed,24,,
2021,F88,fixed65,24,,
2021,F88,observed,1,HOMBRE,0-4
2021,F88,observed,3,HOMBRE,15-19
2021,F88,observed,2,HOMBRE,25-29
2021,F88,observed,1,HOMBRE,30-34
2021,F88,observed,2,HOMBRE,5-9
2021,F88,observed,4,MUJER,10-14
2021,F88,observed,7,MUJER,15-19
2021,F89,observed,85,,
2021,F89,fixed65,85,,
2021,F89,observed,10,HOMBRE,0-4
2021,F89,observed,6,HOMBRE,10-14
2021,F89,observed,2,HOMBRE,20-24
2021,F89,observed,5,HOMBRE,5-9
2021,F89,observed,3,MUJER,0-4
2021,F89,observed,13,MUJER,10-14
2021,F89,observed,26,MUJER,15-19
2021,F89,observed,3,MUJER,20-24
2021,F89,observed,5,MUJER,5-9
2021,F80,observed,1,HOMBRE,50-54
2021,F80,observed,4,HOMBRE,80+
2021,F80,observed,1,MUJER,50-54
2021,F80,observed,6,MUJER,80+
2021,F81,observed,4,MUJER,0-4
2021,F81,observed,3,MUJER,25-29
2021,F81,observed,1,MUJER,60-64
2021,F83,observed,1,HOMBRE,45-49
2021,F83,observed,1,HOMBRE,80+
2021,F83,observed,5,MUJER,15-19
2021,F84,observed,4,HOMBRE,55-59
2021,F84,observed,3,HOMBRE,65-69
2021,F84,observed,1,HOMBRE,75-79
2021,F88,observed,1,MUJER,75-79
2021,F89,observed,5,HOMBRE,15-19
2021,F89,observed,3,HOMBRE,25-29
2021,F89,observed,1,HOMBRE,35-39
2021,F89,observed,1,MUJER,60-64
2021,F80,observed,2,HOMBRE,20-24
2021,F80,observed,1,HOMBRE,25-29
2021,F80,observed,2,HOMBRE,40-44
2021,F81,observed,1,HOMBRE,25-29
2021,F81,observed,1,HOMBRE,40-44
2021,F81,observed,1,HOMBRE,45-49
2021,F81,observed,1,MUJER,20-24
2021,F81,observed,1,MUJER,30-34
2021,F82,observed,1,HOMBRE,40-44
2021,F82,observed,1,HOMBRE,50-54
2021,F82,observed,1,MUJER,20-24
2021,F82,observed,1,MUJER,55-59
2021,F83,observed,1,HOMBRE,20-24
2021,F83,observed,1,HOMBRE,35-39
2021,F83,observed,1,MUJER,30-34
2021,F83,observed,1,MUJER,40-44
2021,F83,observed,1,MUJER,80+
2021,F84,observed,4,HOMBRE,40-44
2021,F89,observed,1,HOMBRE,30-34
2021,F80,observed,1,MUJER,30-34
2021,F80,observed,1,MUJER,45-49
2021,F81,observed,1,HOMBRE,50-54
2021,F83,observed,1,HOMBRE,60-64
2021,F83,observed,1,MUJER,20-24
2021,F83,observed,1,MUJER,75-79
2021,F84,observed,1,MUJER,45-49
2021,F88,observed,1,HOMBRE,10-14
2021,F88,observed,1,HOMBRE,50-54
2021,F88,observed,1,MUJER,0-4
2021,F89,observed,1,MUJER,30-34
2021,F84,observed,1,MUJER,70-74
2022,F80,observed,970,,
2022,F80,fixed65,970,,
2022,F80,observed,332,HOMBRE,0-4
2022,F80,observed,62,HOMBRE,10-14
2022,F80,observed,14,HOMBRE,15-19
2022,F80,observed,3,HOMBRE,35-39
2022,F80,observed,227,HOMBRE,5-9
2022,F80,observed,3,HOMBRE,50-54
2022,F80,observed,5,HOMBRE,55-59
2022,F80,observed,8,HOMBRE,60-64
2022,F80,observed,11,HOMBRE,65-69
2022,F80,observed,5,HOMBRE,70-74
2022,F80,observed,4,HOMBRE,75-79
2022,F80,observed,5,HOMBRE,80+
2022,F80,observed,128,MUJER,0-4
2022,F80,observed,27,MUJER,10-14
2022,F80,observed,8,MUJER,15-19
2022,F80,observed,3,MUJER,40-44
2022,F80,observed,73,MUJER,5-9
2022,F80,observed,5,MUJER,55-59
2022,F80,observed,4,MUJER,60-64
2022,F80,observed,10,MUJER,80+
2022,F81,observed,107,,
2022,F81,fixed65,107,,
2022,F81,observed,9,HOMBRE,0-4
2022,F81,observed,19,HOMBRE,10-14
2022,F81,observed,4,HOMBRE,20-24
2022,F81,observed,14,HOMBRE,5-9
2022,F81,observed,1,HOMBRE,70-74
2022,F81,observed,7,MUJER,0-4
2022,F81,observed,17,MUJER,10-14
2022,F81,observed,10,MUJER,15-19
2022,F81,observed,8,MUJER,5-9
2022,F81,observed,1,MUJER,70-74
2022,F81,observed,1,MUJER,75-79
2022,F82,observed,386,,
2022,F82,fixed65,386,,
2022,F82,observed,153,HOMBRE,0-4
2022,F82,observed,15,HOMBRE,10-14
2022,F82,observed,1,HOMBRE,35-39
2022,F82,observed,37,HOMBRE,5-9
2022,F82,observed,3,HOMBRE,50-54
2022,F82,observed,1,HOMBRE,65-69
2022,F82,observed,1,HOMBRE,70-74
2022,F82,observed,108,MUJER,0-4
2022,F82,observed,12,MUJER,10-14
2022,F82,observed,5,MUJER,15-19
2022,F82,observed,3,MUJER,20-24
2022,F82,observed,31,MUJER,5-9
2022,F83,observed,652,,
2022,F83,fixed65,652,,
2022,F83,observed,257,HOMBRE,0-4
2022,F83,observed,49,HOMBRE,10-14
2022,F83,observed,13,HOMBRE,15-19
2022,F83,observed,4,HOMBRE,20-24
2022,F83,observed,2,HOMBRE,30-34
2022,F83,observed,72,HOMBRE,5-9
2022,F83,observed,3,HOMBRE,50-54
2022,F83,observed,162,MUJER,0-4
2022,F83,observed,22,MUJER,10-14
2022,F83,observed,49,MUJER,5-9
2022,F83,observed,3,MUJER,50-54
2022,F84,observed,3912,,
2022,F84,fixed65,3912,,
2022,F84,observed,709,HOMBRE,0-4
2022,F84,observed,645,HOMBRE,10-14
2022,F84,observed,328,HOMBRE,15-19
2022,F84,observed,102,HOMBRE,20-24
2022,F84,observed,67,HOMBRE,25-29
2022,F84,observed,48,HOMBRE,30-34
2022,F84,observed,30,HOMBRE,35-39
2022,F84,observed,14,HOMBRE,40-44
2022,F84,observed,11,HOMBRE,45-49
2022,F84,observed,920,HOMBRE,5-9
2022,F84,observed,3,HOMBRE,60-64
2022,F84,observed,2,HOMBRE,70-74
2022,F84,observed,253,MUJER,0-4
2022,F84,observed,301,MUJER,10-14
2022,F84,observed,155,MUJER,15-19
2022,F84,observed,38,MUJER,20-24
2022,F84,observed,28,MUJER,25-29
2022,F84,observed,12,MUJER,30-34
2022,F84,observed,14,MUJER,35-39
2022,F84,observed,2,MUJER,40-44
2022,F84,observed,7,MUJER,45-49
2022,F84,observed,202,MUJER,5-9
2022,F84,observed,5,MUJER,55-59
2022,F84,observed,2,MUJER,65-69
2022,F84,observed,2,MUJER,70-74
2022,F88,observed,29,,
2022,F88,fixed65,29,,
2022,F88,observed,2,MUJER,0-4
2022,F88,observed,11,MUJER,10-14
2022,F89,observed,110,,
2022,F89,fixed65,110,,
2022,F89,observed,7,HOMBRE,15-19
2022,F89,observed,3,HOMBRE,20-24
2022,F89,observed,13,MUJER,0-4
2022,F89,observed,28,MUJER,10-14
2022,F89,observed,24,MUJER,15-19
2022,F89,observed,2,MUJER,30-34
2022,F89,observed,2,MUJER,5-9
2022,F89,observed,1,MUJER,70-74
2022,F80,observed,4,HOMBRE,25-29
2022,F80,observed,3,HOMBRE,40-44
2022,F80,observed,2,MUJER,25-29
2022,F80,observed,4,MUJER,35-39
2022,F80,observed,4,MUJER,65-69
2022,F80,observed,3,MUJER,70-74
2022,F80,observed,5,MUJER,75-79
2022,F81,observed,8,HOMBRE,15-19
2022,F81,observed,1,HOMBRE,40-44
2022,F81,observed,2,MUJER,25-29
2022,F82,observed,4,HOMBRE,20-24
2022,F82,observed,1,HOMBRE,60-64
2022,F82,observed,3,MUJER,30-34
2022,F82,observed,1,MUJER,50-54
2022,F83,observed,3,HOMBRE,25-29
2022,F83,observed,4,MUJER,15-19
2022,F83,observed,2,unknown,0-4
2022,F84,observed,2,HOMBRE,75-79
2022,F84,observed,1,MUJER,60-64
2022,F84,observed,2,MUJER,75-79
2022,F88,observed,6,HOMBRE,10-14
2022,F88,observed,5,MUJER,15-19
2022,F88,observed,2,MUJER,20-24
2022,F89,observed,13,HOMBRE,0-4
2022,F89,observed,7,HOMBRE,10-14
2022,F89,observed,3,HOMBRE,5-9
2022,F89,observed,2,MUJER,20-24
2022,F80,observed,2,HOMBRE,30-34
2022,F81,observed,2,HOMBRE,45-49
2022,F81,observed,2,MUJER,30-34
2022,F82,observed,4,HOMBRE,15-19
2022,F82,observed,1,MUJER,25-29
2022,F83,observed,2,MUJER,20-24
2022,F88,observed,2,HOMBRE,15-19
2022,F88,observed,1,HOMBRE,5-9
2022,F89,observed,1,HOMBRE,25-29
2022,F89,observed,1,MUJER,55-59
2022,F80,observed,1,HOMBRE,20-24
2022,F80,observed,1,HOMBRE,45-49
2022,F80,observed,4,MUJER,20-24
2022,F81,observed,1,HOMBRE,60-64
2022,F82,observed,1,HOMBRE,25-29
2022,F82,observed,1,MUJER,75-79
2022,F83,observed,1,HOMBRE,35-39
2022,F83,observed,1,MUJER,30-34
2022,F83,observed,1,MUJER,45-49
2022,F83,observed,1,MUJER,60-64
2022,F84,observed,4,HOMBRE,50-54
2022,F84,observed,2,HOMBRE,65-69
2022,F89,observed,1,HOMBRE,35-39
2022,F89,observed,1,MUJER,35-39
2022,F83,observed,1,HOMBRE,55-59
2022,F84,observed,1,unknown,5-9
2022,F89,observed,1,HOMBRE,60-64
2023,F80,observed,1147,,
2023,F80,fixed65,1141,,
2023,F80,observed,336,HOMBRE,0-4
2023,F80,observed,111,HOMBRE,10-14
2023,F80,observed,20,HOMBRE,15-19
2023,F80,observed,249,HOMBRE,5-9
2023,F80,observed,2,HOMBRE,50-54
2023,F80,observed,6,HOMBRE,70-74
2023,F80,observed,9,HOMBRE,75-79
2023,F80,observed,5,HOMBRE,80+
2023,F80,observed,176,MUJER,0-4
2023,F80,observed,29,MUJER,10-14
2023,F80,observed,13,MUJER,15-19
2023,F80,observed,2,MUJER,20-24
2023,F80,observed,4,MUJER,40-44
2023,F80,observed,3,MUJER,45-49
2023,F80,observed,98,MUJER,5-9
2023,F80,observed,3,MUJER,55-59
2023,F80,observed,7,MUJER,65-69
2023,F80,observed,10,MUJER,75-79
2023,F80,observed,16,MUJER,80+
2023,F81,observed,171,,
2023,F81,fixed65,168,,
2023,F81,observed,8,HOMBRE,0-4
2023,F81,observed,28,HOMBRE,10-14
2023,F81,observed,25,HOMBRE,15-19
2023,F81,observed,3,HOMBRE,35-39
2023,F81,observed,21,HOMBRE,5-9
2023,F81,observed,40,MUJER,10-14
2023,F81,observed,28,MUJER,15-19
2023,F81,observed,2,MUJER,20-24
2023,F82,observed,389,,
2023,F82,fixed65,388,,
2023,F82,observed,168,HOMBRE,0-4
2023,F82,observed,13,HOMBRE,10-14
2023,F82,observed,5,HOMBRE,15-19
2023,F82,observed,2,HOMBRE,20-24
2023,F82,observed,39,HOMBRE,5-9
2023,F82,observed,107,MUJER,0-4
2023,F82,observed,9,MUJER,10-14
2023,F82,observed,1,MUJER,45-49
2023,F82,observed,28,MUJER,5-9
2023,F83,observed,826,,
2023,F83,fixed65,826,,
2023,F83,observed,298,HOMBRE,0-4
2023,F83,observed,38,HOMBRE,10-14
2023,F83,observed,14,HOMBRE,15-19
2023,F83,observed,3,HOMBRE,20-24
2023,F83,observed,108,HOMBRE,5-9
2023,F83,observed,1,HOMBRE,60-64
2023,F83,observed,235,MUJER,0-4
2023,F83,observed,14,MUJER,10-14
2023,F83,observed,9,MUJER,15-19
2023,F83,observed,86,MUJER,5-9
2023,F84,observed,6473,,
2023,F84,fixed65,6421,,
2023,F84,observed,1058,HOMBRE,0-4
2023,F84,observed,944,HOMBRE,10-14
2023,F84,observed,597,HOMBRE,15-19
2023,F84,observed,177,HOMBRE,20-24
2023,F84,observed,77,HOMBRE,25-29
2023,F84,observed,68,HOMBRE,30-34
2023,F84,observed,27,HOMBRE,35-39
2023,F84,observed,17,HOMBRE,40-44
