metropolitan,GRD,GRD_count,A05,A05_count,P2,P2_count
False,,,,,57.1119394012264,19.0
False,,,,,318.36073165084514,55.0
False,17.658484901995408,10.0,,,188.9457884513509,107.0
False,18.83644583176363,7.0,,,,
False,23.013900395839087,10.0,,,,
False,20.79832282324753,25.0,,,32.445383604266155,39.0
False,12.80307273745699,16.0,,,29.60710570536929,37.0
False,32.707843717115814,313.0,62.59424404649321,599.0,73.04403437145034,699.0
False,47.747762329443376,118.0,70.407717333247,174.0,,
False,17.179965869134474,15.0,,,24.051952216788266,21.0
False,13.303179459890917,20.0,42.57017427165092,64.0,,
False,16.960197095343087,19.0,29.45718442875378,33.0,89.26419523864783,100.0
False,16.39689864374224,14.0,,,35.13621137944766,30.0
False,8.82734965131969,14.0,,,40.35359840603286,64.0
False,29.707970648525,10.0,,,74.2699266213125,25.0
False,34.26300280956623,15.0,,,,
False,42.75432887579868,18.0,,,166.26683451699483,70.0
False,0.0,0.0,,,,
True,16.63001666839363,130.0,11.001395642168092,86.0,47.459509107492586,371.0
False,28.024042292950497,192.0,37.21943117032488,255.0,48.45823979822689,332.0
False,28.083074841394453,22.0,,,134.03285719756445,105.0
True,21.965105165361624,74.0,31.463529020653134,106.0,30.276226038741697,102.0
False,23.234200743494423,7.0,,,,
False,49.33769507159329,46.0,30.031640478361133,28.0,52.55537083713198,49.0
False,55.0779731305888,51.0,,,124.19542960819042,115.0
True,22.98832351705496,174.0,32.63285005007227,247.0,41.88102617762311,317.0
False,19.08893709327549,11.0,,,,
False,11.908306043465316,6.0,,,152.82326089113823,77.0
False,19.42749191079432,29.0,23.446972995786243,35.0,127.28356769141104,190.0
True,29.75129683251787,101.0,51.54927669000621,175.0,6.185913202800745,21.0
False,42.9000429000429,9.0,,,,
False,21.67346220012733,16.0,,,105.65812822562071,78.0
