variant,series,unit,stock_or_flow,index_base_year,year,value,index,first_year,last_year,note,script
con_rett,pie_harmonised,"PIE ASD + ASD-Asperger students (harmonised), annual stock",stock,2021,2021,30882.0,100.0,2019,2025,"Indices (base year = 100) of series with different units, denominators and coverage; never levels; first common year across all series is 2021 (A05 autism codes start in 2021)",lancet_americas/pipeline/06_models.py
con_rett,pie_harmonised,"PIE ASD + ASD-Asperger students (harmonised), annual stock",stock,2021,2022,42940.0,139.0453986140794,2019,2025,"Indices (base year = 100) of series with different units, denominators and coverage; never levels; first common year across all series is 2021 (A05 autism codes start in 2021)",lancet_americas/pipeline/06_models.py
con_rett,pie_harmonised,"PIE ASD + ASD-Asperger students (harmonised), annual stock",stock,2021,2023,63642.0,206.08121235671265,2019,2025,"Indices (base year = 100) of series with different units, denominators and coverage; never levels; first common year across all series is 2021 (A05 autism codes start in 2021)",lancet_americas/pipeline/06_models.py
con_rett,pie_harmonised,"PIE ASD + ASD-Asperger students (harmonised), annual stock",stock,2021,2024,86475.0,280.01748591412473,2019,2025,"Indices (base year = 100) of series with different units, denominators and coverage; never levels; first common year across all series is 2021 (A05 autism codes start in 2021)",lancet_americas/pipeline/06_models.py
con_rett,pie_harmonised,"PIE ASD + ASD-Asperger students (harmonised), annual stock",stock,2021,2025,106786.0,345.7871899488375,2019,2025,"Indices (base year = 100) of series with different units, denominators and coverage; never levels; first common year across all series is 2021 (A05 autism codes start in 2021)",lancet_americas/pipeline/06_models.py
con_rett,pie_harmonised,"PIE ASD + ASD-Asperger students (harmonised), annual stock",stock,2019,2019,21012.0,100.0,2019,2025,"Indices (base year = 100) of series with different units, denominators and coverage; never levels; first common year across all series is 2021 (A05 autism codes start in 2021)",lancet_americas/pipeline/06_models.py
con_rett,pie_harmonised,"PIE ASD + ASD-Asperger students (harmonised), annual stock",stock,2019,2020,23590.0,112.26917951646678,2019,2025,"Indices (base year = 100) of series with different units, denominators and coverage; never levels; first common year across all series is 2021 (A05 autism codes start in 2021)",lancet_americas/pipeline/06_models.py
con_rett,pie_harmonised,"PIE ASD + ASD-Asperger students (harmonised), annual stock",stock,2019,2021,30882.0,146.97315819531696,2019,2025,"Indices (base year = 100) of series with different units, denominators and coverage; never levels; first common year across all series is 2021 (A05 autism codes start in 2021)",lancet_americas/pipeline/06_models.py
con_rett,pie_harmonised,"PIE ASD + ASD-Asperger students (harmonised), annual stock",stock,2019,2022,42940.0,204.35941366837997,2019,2025,"Indices (base year = 100) of series with different units, denominators and coverage; never levels; first common year across all series is 2021 (A05 autism codes start in 2021)",lancet_americas/pipeline/06_models.py
con_rett,pie_harmonised,"PIE ASD + ASD-Asperger students (harmonised), annual stock",stock,2019,2023,63642.0,302.88406624785836,2019,2025,"Indices (base year = 100) of series with different units, denominators and coverage; never levels; first common year across all series is 2021 (A05 autism codes start in 2021)",lancet_americas/pipeline/06_models.py
con_rett,pie_harmonised,"PIE ASD + ASD-Asperger students (harmonised), annual stock",stock,2019,2024,86475.0,411.5505425471159,2019,2025,"Indices (base year = 100) of series with different units, denominators and coverage; never levels; first common year across all series is 2021 (A05 autism codes start in 2021)",lancet_americas/pipeline/06_models.py
con_rett,pie_harmonised,"PIE ASD + ASD-Asperger students (harmonised), annual stock",stock,2019,2025,106786.0,508.2143537026461,2019,2025,"Indices (base year = 100) of series with different units, denominators and coverage; never levels; first common year across all series is 2021 (A05 autism codes start in 2021)",lancet_americas/pipeline/06_models.py
sin_rett,grd_any_rate,"episodes with F84 (any position) per 100,000 GRD episodes",rate,2021,2019,202.69654139256173,69.95548328367394,2019,2024,"Indices (base year = 100) of series with different units, denominators and coverage; never levels; first common year across all series is 2021 (A05 autism codes start in 2021)",lancet_americas/pipeline/06_models.py
sin_rett,grd_any_rate,"episodes with F84 (any position) per 100,000 GRD episodes",rate,2021,2020,205.7776322655235,71.01884233054352,2019,2024,"Indices (base year = 100) of series with different units, denominators and coverage; never levels; first common year across all series is 2021 (A05 autism codes start in 2021)",lancet_americas/pipeline/06_models.py
sin_rett,grd_any_rate,"episodes with F84 (any position) per 100,000 GRD episodes",rate,2021,2021,289.75075559211615,100.0,2019,2024,"Indices (base year = 100) of series with different units, denominators and coverage; never levels; first common year across all series is 2021 (A05 autism codes start in 2021)",lancet_americas/pipeline/06_models.py
sin_rett,grd_any_rate,"episodes with F84 (any position) per 100,000 GRD episodes",rate,2021,2022,413.68339016700634,142.77215233541995,2019,2024,"Indices (base year = 100) of series with different units, denominators and coverage; never levels; first common year across all series is 2021 (A05 autism codes start in 2021)",lancet_americas/pipeline/06_models.py
sin_rett,grd_any_rate,"episodes with F84 (any position) per 100,000 GRD episodes",rate,2021,2023,617.8415082143197,213.23206110428882,2019,2024,"Indices (base year = 100) of series with different units, denominators and coverage; never levels; first common year across all series is 2021 (A05 autism codes start in 2021)",lancet_americas/pipeline/06_models.py
sin_rett,grd_any_rate,"episodes with F84 (any position) per 100,000 GRD episodes",rate,2021,2024,804.0979432001643,277.5136656872425,2019,2024,"Indices (base year = 100) of series with different units, denominators and coverage; never levels; first common year across all series is 2021 (A05 autism codes start in 2021)",lancet_americas/pipeline/06_models.py
sin_rett,grd_any_rate,"episodes with F84 (any position) per 100,000 GRD episodes",rate,2019,2019,202.69654139256173,100.0,2019,2024,"Indices (base year = 100) of series with different units, denominators and coverage; never levels; first common year across all series is 2021 (A05 autism codes start in 2021)",lancet_americas/pipeline/06_models.py
sin_rett,grd_any_rate,"episodes with F84 (any position) per 100,000 GRD episodes",rate,2019,2020,205.7776322655235,101.52005103382334,2019,2024,"Indices (base year = 100) of series with different units, denominators and coverage; never levels; first common year across all series is 2021 (A05 autism codes start in 2021)",lancet_americas/pipeline/06_models.py
sin_rett,grd_any_rate,"episodes with F84 (any position) per 100,000 GRD episodes",rate,2019,2021,289.75075559211615,142.94805111201026,2019,2024,"Indices (base year = 100) of series with different units, denominators and coverage; never levels; first common year across all series is 2021 (A05 autism codes start in 2021)",lancet_americas/pipeline/06_models.py
sin_rett,grd_any_rate,"episodes with F84 (any position) per 100,000 GRD episodes",rate,2019,2022,413.68339016700634,204.09000929415322,2019,2024,"Indices (base year = 100) of series with different units, denominators and coverage; never levels; first common year across all series is 2021 (A05 autism codes start in 2021)",lancet_americas/pipeline/06_models.py
sin_rett,grd_any_rate,"episodes with F84 (any position) per 100,000 GRD episodes",rate,2019,2023,617.8415082143197,304.81107569455173,2019,2024,"Indices (base year = 100) of series with different units, denominators and coverage; never levels; first common year across all series is 2021 (A05 autism codes start in 2021)",lancet_americas/pipeline/06_models.py
sin_rett,grd_any_rate,"episodes with F84 (any position) per 100,000 GRD episodes",rate,2019,2024,804.0979432001643,396.70037666941266,2019,2024,"Indices (base year = 100) of series with different units, denominators and coverage; never levels; first common year across all series is 2021 (A05 autism codes start in 2021)",lancet_americas/pipeline/06_models.py
sin_rett,grd_principal_rate,"episodes with F84 principal per 100,000 GRD episodes",rate,2021,2019,19.800690418810657,86.9643129534419,2019,2024,"Indices (base year = 100) of series with different units, denominators and coverage; never levels; first common year across all series is 2021 (A05 autism codes start in 2021)",lancet_americas/pipeline/06_models.py
sin_rett,grd_principal_rate,"episodes with F84 principal per 100,000 GRD episodes",rate,2021,2020,20.078985870532744,88.18658208876899,2019,2024,"Indices (base year = 100) of series with different units, denominators and coverage; never levels; first common year across all series is 2021 (A05 autism codes start in 2021)",lancet_americas/pipeline/06_models.py
sin_rett,grd_principal_rate,"episodes with F84 principal per 100,000 GRD episodes",rate,2021,2021,22.76875392485577,100.0,2019,2024,"Indices (base year = 100) of series with different units, denominators and coverage; never levels; first common year across all series is 2021 (A05 autism codes start in 2021)",lancet_americas/pipeline/06_models.py
sin_rett,grd_principal_rate,"episodes with F84 principal per 100,000 GRD episodes",rate,2021,2022,31.623892225775293,138.89162459282724,2019,2024,"Indices (base year = 100) of series with different units, denominators and coverage; never levels; first common year across all series is 2021 (A05 autism codes start in 2021)",lancet_americas/pipeline/06_models.py
