cut_comuna,indicator,variant,population_base,observed,expected,expected_unscaled,expected_scaling_factor,person_years,rate_per_100k,standardisation,years_in_period,years_reported,rate_lo,rate_hi,sir,sir_lo,sir_hi,sir_eb,eb_weight,prior_mean,prior_variance,suppressed,never_reported,period,years,cut_region,script
4106,grd_episodes,sin_rett,base2017,23.0,40.18114847753165,40.165279772315614,1.000395085140848,180231,12.761400646947529,age-sex indirect (national age x sex x year rates of the same source),6,5,8.089633324480626,19.148366759787734,0.5724077302783184,0.3628573992900548,0.8588926449957232,0.6120408672429983,0.907310913290184,1.0,0.2436156509750521,False,False,full,2019-2024,4,lancet_americas/pipeline/15b_spatial_correlation.py
4201,grd_episodes,sin_rett,base2017,15.0,42.285750212385025,42.26905033867846,1.000395085140848,197267,7.603907394546478,age-sex indirect (national age x sex x year rates of the same source),6,3,4.255849246342931,12.541488881305977,0.3547294283455013,0.1985393682414648,0.585072246494984,0.4118255883492469,0.911515939960893,1.0,0.2436156509750521,False,False,full,2019-2024,4,lancet_americas/pipeline/15b_spatial_correlation.py
4202,grd_episodes,sin_rett,base2017,0.0,10.434652411360435,10.430531463368114,1.000395085140848,57180,0.0,age-sex indirect (national age x sex x year rates of the same source),6,0,0.0,6.451345670013879,0.0,0.0,0.3535220253333758,0.2823228111632436,0.7176771888367564,1.0,0.2436156509750521,True,True,full,2019-2024,4,lancet_americas/pipeline/15b_spatial_correlation.py
4203,grd_episodes,sin_rett,base2017,13.0,30.80397257312929,30.791807187649596,1.000395085140848,142555,9.1192872926239,age-sex indirect (national age x sex x year rates of the same source),6,4,4.855636414719795,15.594259000497264,0.4220234896371798,0.2247097342581688,0.721673020107502,0.4899861065449323,0.8824128391219749,1.0,0.2436156509750521,False,False,full,2019-2024,4,lancet_americas/pipeline/15b_spatial_correlation.py
4204,grd_episodes,sin_rett,base2017,9.0,37.39360476683989,37.37883694378123,1.000395085140848,176460,5.100306018361102,age-sex indirect (national age x sex x year rates of the same source),6,4,2.3321846862622317,9.6819695406433,0.2406828669265144,0.1100555328388074,0.4568910528403971,0.3157908903129884,0.9010847772096758,1.0,0.2436156509750521,False,False,full,2019-2024,4,lancet_americas/pipeline/15b_spatial_correlation.py
4301,grd_episodes,sin_rett,base2017,199.0,166.16514149729716,166.09951804581527,1.000395085140848,734584,27.09016259542816,age-sex indirect (national age x sex x year rates of the same source),6,6,23.456853595066292,31.126833824726983,1.1976037706033364,1.0369821965071089,1.376057209849587,1.1928399874212865,0.9758922455401275,1.0,0.2436156509750521,False,False,full,2019-2024,4,lancet_americas/pipeline/15b_spatial_correlation.py
4302,grd_episodes,sin_rett,base2017,16.0,15.03380549384516,15.027868206418184,1.000395085140848,83219,19.226378591427437,age-sex indirect (national age x sex x year rates of the same source),6,4,10.989536588569342,31.22243429692853,1.0642681260277314,0.6083211903589972,1.7283047601087025,1.0504839897808775,0.7855214225336828,1.0,0.2436156509750521,False,False,full,2019-2024,4,lancet_americas/pipeline/15b_spatial_correlation.py
4303,grd_episodes,sin_rett,base2017,31.0,43.10611234723651,43.08908848864197,1.000395085140848,195453,15.860590525599504,age-sex indirect (national age x sex x year rates of the same source),6,6,10.7765017570167,22.51284221948435,0.7191555515441276,0.4886313061468226,1.020783900640246,0.7435739974311633,0.9130534855814592,1.0,0.2436156509750521,False,False,full,2019-2024,4,lancet_americas/pipeline/15b_spatial_correlation.py
4304,grd_episodes,sin_rett,base2017,13.0,16.411218692986296,16.40473742499017,1.000395085140848,73767,17.62305638022422,age-sex indirect (national age x sex x year rates of the same source),6,4,9.383535308476423,30.13596312464771,0.7921410495587292,0.4217817470168779,1.3545853195935738,0.8337292276749656,0.7999211579393267,1.0,0.2436156509750521,False,False,full,2019-2024,4,lancet_americas/pipeline/15b_spatial_correlation.py
4305,grd_episodes,sin_rett,base2017,1.0,4.458686955412984,4.456926090140913,1.000395085140848,26082,3.834061805076298,age-sex indirect (national age x sex x year rates of the same source),6,1,0.0970700405808215,21.362025116704615,0.2242812760797142,0.0056783102822577,1.249615289580882,0.596113564816685,0.5206609338268585,1.0,0.2436156509750521,True,False,full,2019-2024,4,lancet_americas/pipeline/15b_spatial_correlation.py
