series,year,sex,age_group,population,count,rate,rate_lo,rate_hi
A05_egresos_TGD_total,2024,TOTAL,45-49,1337371.0,28,2.0936598744850907,1.3912217818284929,3.0259214491168263
A05_egresos_TGD_total,2024,TOTAL,5-9,1221671.0,1459,119.42658866421483,113.376444281918,125.71573894695771
A05_egresos_TGD_total,2024,TOTAL,50-54,1241074.0,26,2.0949596881410777,1.3684972222120793,3.0696013358691743
A05_egresos_TGD_total,2024,TOTAL,55-59,1202298.0,27,2.2456994854852956,1.4799301114835735,3.2673748475970297
A05_egresos_TGD_total,2024,TOTAL,60-64,1088475.0,36,3.3073795907117756,2.3164480045306712,4.578807458989521
A05_egresos_TGD_total,2024,TOTAL,65-69,919815.0,13,1.4133276800226133,0.7525374657951655,2.4168333760765885
A05_egresos_TGD_total,2024,TOTAL,70-74,719139.0,15,2.085827635547509,1.1674218937901177,3.4402554821092783
A05_egresos_TGD_total,2024,TOTAL,75-79,491434.0,5,1.0174306214059263,0.3303569533484497,2.374343671647194
A05_egresos_TGD_total,2024,TOTAL,80+,638799.0,8,1.2523501132594135,0.540675889716249,2.4676289756548324
05990027,2021,HOMBRE,0-4,600632.0,48,7.99158220008258,5.892361849432471,10.59567858224791
05990027,2021,HOMBRE,10-14,655232.0,91,13.88821058800547,11.181920830611308,17.051645053438733
05990027,2021,HOMBRE,15-19,631851.0,84,13.294273491693453,10.604033188170312,16.459215189955813
05990027,2021,HOMBRE,20-24,719079.0,17,2.3641352340980615,1.3771958949722205,3.785209527173873
05990027,2021,HOMBRE,25-29,827115.0,3,0.3627065160225603,0.07479880341858162,1.0599823567148852
05990027,2021,HOMBRE,30-34,842111.0,3,0.3562475730634085,0.0734668141011816,1.041106584493294
05990027,2021,HOMBRE,35-39,738934.0,0,0.0,0.0,0.49921636494110916
05990027,2021,HOMBRE,40-44,683807.0,1,0.1462400940616285,0.0037024786210568005,0.8147976535687552
05990027,2021,HOMBRE,45-49,644339.0,1,0.15519780736537755,0.003929268286459437,0.864706837695514
