definition,unit,year,sex,age_group,population,count,rate,rate_lo,rate_hi
TEA_operacional,persons,2022,MUJER,50-54,622004.0,0.0,0.0,0.0,0.5930636224387521
TEA_operacional,persons,2022,MUJER,55-59,608970.0,5.0,0.821058508629325,0.26659546285012736,1.9160766670480764
TEA_operacional,persons,2022,MUJER,60-64,542388.0,1.0,0.18436986069013325,0.004667840731043068,1.0272431158025064
TEA_operacional,persons,2022,MUJER,65-69,464538.0,2.0,0.4305352845192428,0.05213982032556324,1.5552414802930998
TEA_operacional,persons,2022,MUJER,70-74,354224.0,2.0,0.5646144812322147,0.06837743307736488,2.0395816397883713
TEA_operacional,persons,2022,MUJER,75-79,256314.0,1.0,0.39014646098145245,0.009877653184878654,2.1737569508255103
TEA_operacional,persons,2022,MUJER,80+,375896.0,0.0,0.0,0.0,0.9813564002048267
TEA_operacional,persons,2023,HOMBRE,0-4,601871.0,904.0,150.19829830644773,140.565562510335,160.31730825556966
TEA_operacional,persons,2023,HOMBRE,10-14,660567.0,758.0,114.74990424892555,106.72527863364338,123.21804477813178
TEA_operacional,persons,2023,HOMBRE,15-19,628233.0,377.0,60.009582431995774,54.1041631111913,66.38368051761023
TEA_operacional,persons,2023,HOMBRE,20-24,680267.0,141.0,20.727155660939015,17.44724454843773,24.444509030020207
TEA_operacional,persons,2023,HOMBRE,25-29,789133.0,62.0,7.8567237715315414,6.0237050644406684,10.071965293017305
TEA_operacional,persons,2023,HOMBRE,30-34,866894.0,55.0,6.344489637718106,4.779537864080092,8.258225339656216
TEA_operacional,persons,2023,HOMBRE,35-39,767066.0,25.0,3.259171961734714,2.1091642502508687,4.811180745533027
TEA_operacional,persons,2023,HOMBRE,40-44,704660.0,16.0,2.2705985865523797,1.2978432795449613,3.687309851213484
TEA_operacional,persons,2023,HOMBRE,45-49,662549.0,8.0,1.20745786349387,0.521294602625391,2.3791733472080274
TEA_operacional,persons,2023,HOMBRE,5-9,633429.0,1244.0,196.39138719572358,185.62826934353478,207.61580025612278
TEA_operacional,persons,2023,HOMBRE,50-54,605734.0,7.0,1.1556227651081168,0.46462028737364347,2.38102456882103
TEA_operacional,persons,2023,HOMBRE,55-59,581931.0,1.0,0.17184167882446544,0.004350654628175827,0.9574405541101777
TEA_operacional,persons,2023,HOMBRE,60-64,508419.0,8.0,1.5735053174645321,0.6793279119679834,3.1004327572717214
TEA_operacional,persons,2023,HOMBRE,65-69,419254.0,2.0,0.477037786163042,0.057771489012380314,1.7232245053652346
TEA_operacional,persons,2023,HOMBRE,70-74,310192.0,3.0,0.9671429308299376,0.19944812338667708,2.8264020573523245
TEA_operacional,persons,2023,HOMBRE,75-79,204017.0,1.0,0.4901552321620257,0.012409656050373192,2.730970159809672
TEA_operacional,persons,2023,HOMBRE,80+,224250.0,1.0,0.4459308807134894,0.011289992412169398,2.4845678443428754
TEA_operacional,persons,2023,MUJER,0-4,579455.0,326.0,56.25976132745424,50.317693514177826,62.71060677548096
TEA_operacional,persons,2023,MUJER,10-14,637437.0,460.0,72.16399424570585,65.71919652315101,79.0699647063178
TEA_operacional,persons,2023,MUJER,15-19,607126.0,268.0,44.142402071398685,39.015196451779715,49.75610038474302
TEA_operacional,persons,2023,MUJER,20-24,659586.0,85.0,12.886871461795732,10.293575213057053,15.934816129951054
TEA_operacional,persons,2023,MUJER,25-29,766871.0,47.0,6.128801323821086,4.503212687279315,8.15000649922177
TEA_operacional,persons,2023,MUJER,30-34,842620.0,36.0,4.272388502527829,2.9923283825823295,5.91478655731364
TEA_operacional,persons,2023,MUJER,35-39,747993.0,16.0,2.139057451072403,1.2226561550230448,3.473695288266192
TEA_operacional,persons,2023,MUJER,40-44,695661.0,8.0,1.1499854095601163,0.4964820762912541,2.2659297014197017
TEA_operacional,persons,2023,MUJER,45-49,666775.0,11.0,1.6497319185632335,0.8235402297981838,2.9518261052531893
TEA_operacional,persons,2023,MUJER,5-9,610108.0,332.0,54.41659509463898,48.719921085214374,60.59640537381987
