year,definition,unit,role,sex,count,population,crude,crude_lo,crude_hi,asr,asr_lo,asr_hi,asr_var,groups_missing
2020,TEA_operacional,records,principal,TOTAL,152.0,19458310.0,0.7811572536361071,0.661910384375491,0.9156819803600093,1.0000702997285116,0.8467993062935444,1.1740131593181882,0.0066345339371104315,0
2021,TEA_operacional,records,principal,HOMBRE,148.0,9708512.0,1.5244354644666454,1.2887331932451036,1.7907691261676768,1.8526071578083885,1.5636317082814206,2.1818675925454247,0.023620678665101084,0
2021,TEA_operacional,records,principal,MUJER,35.0,9969851.0,0.35105840598821386,0.24452504257606017,0.48823726020662767,0.48430592956094476,0.3367807824365029,0.6763411673351056,0.0067576057821018675,0
2021,TEA_operacional,records,principal,TOTAL,183.0,19678363.0,0.929955403302602,0.8000948889136063,1.0748880064101167,1.1798792199316361,1.013752525779149,1.3665722870220058,0.0077389596418279165,0
2022,TEA_operacional,records,principal,HOMBRE,220.0,9782978.0,2.248803994039443,1.9614422327149763,2.566419414738869,2.8131289350052233,2.4512032474871788,3.2155055711747567,0.03648153323484484,0
2022,TEA_operacional,records,principal,MUJER,66.0,10045585.0,0.6570050425137013,0.5081276522834786,0.835871504173294,0.8863360335351571,0.6846190856947901,1.131160930301907,0.012013995249297544,0
2022,TEA_operacional,records,principal,TOTAL,286.0,19828563.0,1.442363725500431,1.2800275901227367,1.6195861870974253,1.8659931172152513,1.6546274299784083,2.0979048828416627,0.012336590278341218,0
2023,TEA_operacional,records,principal,HOMBRE,249.0,9848466.0,2.528312531108906,2.2240017674351833,2.8626363199318816,3.225507460299906,2.8354688277164604,3.656069552983784,0.042186957176829715,0
2023,TEA_operacional,records,principal,MUJER,102.0,10112423.0,1.0086603378834134,0.8224419626610507,1.2244448299831674,1.371969626086956,1.1173095391872099,1.6693560842984119,0.018664818938439375,0
2023,TEA_operacional,records,principal,TOTAL,351.0,19960889.0,1.7584387148287834,1.5792694335720476,1.952367866729223,2.314625458486885,2.077618223503022,2.572192546774938,0.01541923102714033,0
2024,TEA_operacional,records,principal,HOMBRE,253.0,9910500.0,2.5528479895060796,2.247944607593045,2.887571655723805,3.266327588407937,2.874459481805663,3.698582261085967,0.04256117964505683,0
2024,TEA_operacional,records,principal,MUJER,118.0,10175877.0,1.1596052114230548,0.9598358838288528,1.3886913602027875,1.5816402759269954,1.3079013582424384,1.8978221114280815,0.02140707426724252,0
2024,TEA_operacional,records,principal,TOTAL,371.0,20086377.0,1.8470229847821735,1.6638357417335146,2.0448708845876298,2.438630128302023,2.195656357694686,2.7020838736917088,0.0161810406620525,0
2019,TEA_operacional,records,principal_y_secundario,HOMBRE,6.0,9424139.0,0.06366629354681631,0.023364407650299415,0.13857471778078279,0.07671916756593798,0.027843438810054157,0.17084592766673626,0.0009984147246215236,0
2019,TEA_operacional,records,principal_y_secundario,MUJER,0.0,9683077.0,0.0,0.0,0.03809614912815353,0.0,0.0,0.05541737990780758,0.0,0
2019,TEA_operacional,records,principal_y_secundario,TOTAL,6.0,19107216.0,0.03140174895180962,0.011523888427758658,0.06834838744963519,0.03903760249441858,0.014164988714824658,0.0869600362750063,0.00025858588243609374,0
2020,TEA_operacional,records,principal_y_secundario,HOMBRE,4.0,9599101.0,0.041670568941820696,0.011353827547249735,0.10669320674304493,0.05340990015147258,0.014552400195982342,0.13936642111435926,0.0007131543585475676,0
