year,cut_region,sex,age_group,population
2017,13,MUJER,70-74,110815.0
2017,13,MUJER,75-79,83064.0
2017,13,MUJER,80+,127373.0
2017,14,HOMBRE,0-4,12409.0
2017,14,HOMBRE,10-14,13636.0
2017,14,HOMBRE,15-19,15071.0
2017,14,HOMBRE,20-24,15684.0
2017,14,HOMBRE,25-29,15284.0
2017,14,HOMBRE,30-34,12851.0
2017,14,HOMBRE,35-39,12445.0
2017,14,HOMBRE,40-44,13158.0
2017,14,HOMBRE,45-49,13667.0
2017,14,HOMBRE,5-9,13929.0
2017,14,HOMBRE,50-54,14330.0
2017,14,HOMBRE,55-59,11985.0
2017,14,HOMBRE,60-64,9873.0
2017,14,HOMBRE,65-69,7552.0
2017,14,HOMBRE,70-74,5518.0
2017,14,HOMBRE,75-79,3928.0
2017,14,HOMBRE,80+,4493.0
2017,14,MUJER,0-4,12001.0
2017,14,MUJER,10-14,13134.0
2017,14,MUJER,15-19,14562.0
2017,14,MUJER,20-24,15564.0
2017,14,MUJER,25-29,15722.0
2017,14,MUJER,30-34,13715.0
2017,14,MUJER,35-39,13003.0
2017,14,MUJER,40-44,13282.0
2017,14,MUJER,45-49,13687.0
2017,14,MUJER,5-9,13468.0
2017,14,MUJER,50-54,14073.0
2017,14,MUJER,55-59,11951.0
2017,14,MUJER,60-64,10468.0
2017,14,MUJER,65-69,8531.0
2017,14,MUJER,70-74,6656.0
2017,14,MUJER,75-79,5241.0
2017,14,MUJER,80+,7622.0
2017,15,HOMBRE,0-4,8676.0
2017,15,HOMBRE,10-14,8431.0
2017,15,HOMBRE,15-19,9396.0
2017,15,HOMBRE,20-24,9908.0
2017,15,HOMBRE,25-29,10380.0
2017,15,HOMBRE,30-34,9358.0
2017,15,HOMBRE,35-39,8309.0
2017,15,HOMBRE,40-44,8007.0
2017,15,HOMBRE,45-49,7468.0
2017,15,HOMBRE,5-9,9314.0
2017,15,HOMBRE,50-54,6748.0
2017,15,HOMBRE,55-59,5936.0
2017,15,HOMBRE,60-64,5328.0
2017,15,HOMBRE,65-69,4120.0
2017,15,HOMBRE,70-74,2954.0
2017,15,HOMBRE,75-79,1867.0
2017,15,HOMBRE,80+,2112.0
2017,15,MUJER,0-4,8381.0
2017,15,MUJER,10-14,8057.0
2017,15,MUJER,15-19,8421.0
2017,15,MUJER,20-24,8925.0
2017,15,MUJER,25-29,9404.0
2017,15,MUJER,30-34,8822.0
2017,15,MUJER,35-39,8223.0
2017,15,MUJER,40-44,7938.0
2017,15,MUJER,45-49,7569.0
2017,15,MUJER,5-9,8905.0
2017,15,MUJER,50-54,7317.0
2017,15,MUJER,55-59,6613.0
2017,15,MUJER,60-64,5802.0
2017,15,MUJER,65-69,4711.0
2017,15,MUJER,70-74,3668.0
2017,15,MUJER,75-79,2585.0
2017,15,MUJER,80+,3429.0
2017,16,HOMBRE,0-4,15148.0
2017,16,HOMBRE,10-14,17834.0
2017,16,HOMBRE,15-19,17930.0
2017,16,HOMBRE,20-24,16891.0
2017,16,HOMBRE,25-29,17530.0
2017,16,HOMBRE,30-34,15568.0
2017,16,HOMBRE,35-39,15211.0
2017,16,HOMBRE,40-44,16018.0
2017,16,HOMBRE,45-49,17444.0
2017,16,HOMBRE,5-9,17312.0
2017,16,HOMBRE,50-54,17512.0
2017,16,HOMBRE,55-59,15505.0
2017,16,HOMBRE,60-64,13125.0
