era,definition,code,patients
2019-2020,F84_historico,M2389,1
2019-2020,F84_historico,M359,1
2019-2020,F84_historico,K021,1
2019-2020,F84_historico,J960,1
2019-2020,F84_historico,H653,1
2019-2020,F84_historico,J13,1
2019-2020,F84_historico,H669,1
2019-2020,F84_historico,I270,1
2019-2020,F84_historico,I359,1
2019-2020,F84_historico,I440,1
2019-2020,F84_historico,I471,1
2019-2020,F84_historico,I880,1
2019-2020,F84_historico,J00,1
2019-2020,F84_historico,J039,1
2019-2020,F84_historico,J050,1
2019-2020,F84_historico,J108,1
2019-2020,F84_historico,J122,1
2019-2020,F84_historico,J14,1
2019-2020,F84_historico,J950,1
2019-2020,F84_historico,J151,1
2019-2020,F84_historico,J152,1
2019-2020,F84_historico,J156,1
2019-2020,F84_historico,J204,1
2019-2020,F84_historico,J219,1
2019-2020,F84_historico,J22,1
2019-2020,F84_historico,J387,1
2019-2020,F84_historico,J441,1
2019-2020,F84_historico,J448,1
2019-2020,F84_historico,J459,1
2019-2020,F84_historico,J46,1
2019-2020,F84_historico,Z653,1
2021-2024,autismo_F840,N47,80
2021-2024,autismo_F840,G409,73
2021-2024,autismo_F840,J353,56
2021-2024,autismo_F840,J46,39
2021-2024,autismo_F840,K358,38
2021-2024,autismo_F840,F322,37
2021-2024,autismo_F840,J209,31
2021-2024,autismo_F840,J128,30
2021-2024,autismo_F840,F603,25
2021-2024,autismo_F840,Z518,24
2021-2024,autismo_F840,J121,24
2021-2024,autismo_F840,J129,23
2021-2024,autismo_F840,T432,22
2021-2024,autismo_F840,Q532,22
2021-2024,autismo_F840,A099,21
2021-2024,autismo_F840,U071,19
2021-2024,autismo_F840,Q531,19
2021-2024,autismo_F840,J206,19
2021-2024,autismo_F840,J351,19
2021-2024,autismo_F840,F329,19
2021-2024,autismo_F840,J123,18
2021-2024,autismo_F840,F431,18
2021-2024,autismo_F840,F29,17
2021-2024,autismo_F840,F841,16
2021-2024,autismo_F840,F919,15
2021-2024,autismo_F840,F323,15
2021-2024,autismo_F840,E101,15
2021-2024,autismo_F840,G401,15
2021-2024,autismo_F840,T424,15
2021-2024,autismo_F840,J205,14
2021-2024,autismo_F840,C910,14
2021-2024,autismo_F840,G408,14
2021-2024,autismo_F840,T391,13
2021-2024,autismo_F840,K590,13
2021-2024,autismo_F840,A080,13
2021-2024,autismo_F840,R458,12
2021-2024,autismo_F840,G473,12
2021-2024,autismo_F840,K353,12
2021-2024,autismo_F840,N390,12
2021-2024,autismo_F840,Z470,12
2021-2024,autismo_F840,F609,12
2021-2024,autismo_F840,F412,11
2021-2024,autismo_F840,S4240,11
2021-2024,autismo_F840,J210,11
2021-2024,autismo_F840,K802,11
2021-2024,autismo_F840,H509,11
2021-2024,autismo_F840,P220,10
2021-2024,autismo_F840,K409,10
2021-2024,autismo_F840,J352,10
2021-2024,autismo_F840,R568,9
2021-2024,autismo_F840,Z511,9
2021-2024,autismo_F840,J069,9
2021-2024,autismo_F840,H919,9
2021-2024,autismo_F840,T850,9
2021-2024,autismo_F840,R560,9
2021-2024,autismo_F840,J00,8
2021-2024,autismo_F840,A090,8
2021-2024,autismo_F840,F319,8
2021-2024,autismo_F840,J219,8
2021-2024,autismo_F840,J122,8
2021-2024,autismo_F840,J9600,8
2021-2024,autismo_F840,J459,8
2021-2024,autismo_F840,F432,7
2021-2024,autismo_F840,D70,7
2021-2024,autismo_F840,R509,7
2021-2024,autismo_F840,F39,7
2021-2024,autismo_F840,F849,7
2021-2024,autismo_F840,N10,7
2021-2024,autismo_F840,F845,7
2021-2024,autismo_F840,P599,7
2021-2024,autismo_F840,J159,7
2021-2024,autismo_F840,J690,7
2021-2024,autismo_F840,J9609,7
2021-2024,autismo_F840,Z138,7
2021-2024,autismo_F840,Q381,6
2021-2024,autismo_F840,K219,6
