era,definition,code,patients
2019-2020,autismo_F840,M4115,1
2019-2020,autismo_F840,M4105,1
2019-2020,autismo_F840,M359,1
2019-2020,autismo_F840,M2445,1
2019-2020,autismo_F840,M2176,1
2019-2020,autismo_F840,M2117,1
2019-2020,autismo_F840,M2106,1
2019-2020,autismo_F840,M0095,1
2019-2020,autismo_F840,L929,1
2019-2020,autismo_F840,L923,1
2019-2020,autismo_F840,K222,1
2019-2020,autismo_F840,K221,1
2019-2020,autismo_F840,K219,1
2019-2020,autismo_F840,K20,1
2019-2020,autismo_F840,J157,1
2019-2020,autismo_F840,J14,1
2019-2020,autismo_F840,J13,1
2019-2020,autismo_F840,J128,1
2019-2020,autismo_F840,J123,1
2019-2020,autismo_F840,J122,1
2019-2020,autismo_F840,J120,1
2019-2020,autismo_F840,J050,1
2019-2020,autismo_F840,J040,1
2019-2020,autismo_F840,J039,1
2019-2020,autismo_F840,J029,1
2019-2020,autismo_F840,I889,1
2019-2020,autismo_F840,I776,1
2019-2020,autismo_F840,I679,1
2019-2020,autismo_F840,I638,1
2019-2020,autismo_F840,I619,1
2019-2020,autismo_F840,I615,1
2019-2020,autismo_F840,I479,1
2019-2020,autismo_F840,I469,1
2019-2020,autismo_F840,I270,1
2019-2020,autismo_F840,I210,1
2019-2020,autismo_F840,I151,1
2019-2020,autismo_F840,H905,1
2019-2020,autismo_F840,H903,1
2019-2020,autismo_F840,H900,1
2019-2020,autismo_F840,J181,1
2019-2020,autismo_F840,J204,1
2019-2020,autismo_F840,J208,1
2019-2020,autismo_F840,K025,1
2019-2020,autismo_F840,K134,1
2019-2020,autismo_F840,K117,1
2019-2020,autismo_F840,K113,1
2019-2020,autismo_F840,K112,1
2019-2020,autismo_F840,K108,1
2019-2020,autismo_F840,K102,1
2019-2020,autismo_F840,K092,1
2019-2020,autismo_F840,K083,1
2019-2020,autismo_F840,K081,1
2019-2020,autismo_F840,K052,1
2019-2020,autismo_F840,K046,1
2019-2020,autismo_F840,K023,1
2019-2020,autismo_F840,J219,1
2019-2020,autismo_F840,J955,1
2019-2020,autismo_F840,J931,1
2019-2020,autismo_F840,J90,1
2019-2020,autismo_F840,J869,1
2019-2020,autismo_F840,J850,1
2019-2020,autismo_F840,J459,1
2019-2020,autismo_F840,J40,1
2019-2020,autismo_F840,J398,1
2019-2020,autismo_F840,J36,1
2019-2020,autismo_F840,J343,1
2019-2020,autismo_F840,J342,1
2019-2020,autismo_F840,Z915,1
2019-2020,TEA_operacional,F840,155
2019-2020,TEA_operacional,G409,125
2019-2020,TEA_operacional,K029,113
2019-2020,TEA_operacional,N47,94
2019-2020,TEA_operacional,K358,88
2019-2020,TEA_operacional,J353,66
2019-2020,TEA_operacional,Z518,47
2019-2020,TEA_operacional,K353,38
2019-2020,TEA_operacional,R568,36
2019-2020,TEA_operacional,K028,33
2019-2020,TEA_operacional,A099,33
2019-2020,TEA_operacional,G403,25
2019-2020,TEA_operacional,J159,25
2019-2020,TEA_operacional,J209,25
2019-2020,TEA_operacional,F841,25
2019-2020,TEA_operacional,K352,24
2019-2020,TEA_operacional,F845,23
2019-2020,TEA_operacional,J189,23
2019-2020,TEA_operacional,K122,23
2019-2020,TEA_operacional,S4240,22
2019-2020,TEA_operacional,K010,21
2019-2020,TEA_operacional,K590,19
2019-2020,TEA_operacional,G404,18
2019-2020,TEA_operacional,J46,18
2019-2020,TEA_operacional,J129,18
2019-2020,TEA_operacional,E101,17
2019-2020,TEA_operacional,N390,17
2019-2020,TEA_operacional,Q531,16
2019-2020,TEA_operacional,Z138,16
2019-2020,TEA_operacional,J121,16
2019-2020,TEA_operacional,J351,16
2019-2020,TEA_operacional,N10,16
2019-2020,TEA_operacional,F322,16
2019-2020,TEA_operacional,F29,15
2019-2020,TEA_operacional,Z038,15
2019-2020,TEA_operacional,K021,15
2019-2020,TEA_operacional,F919,15
2019-2020,TEA_operacional,G408,14
2019-2020,TEA_operacional,DESCONOCIDO,14
2019-2020,TEA_operacional,F848,14
2019-2020,TEA_operacional,F432,14
2019-2020,TEA_operacional,R560,14
2019-2020,TEA_operacional,Z134,14
2019-2020,TEA_operacional,T435,13
2019-2020,TEA_operacional,F239,13
2019-2020,TEA_operacional,R458,12
2019-2020,TEA_operacional,G401,12
2019-2020,TEA_operacional,A080,12
2019-2020,TEA_operacional,L031,11
2019-2020,TEA_operacional,F849,11
2019-2020,TEA_operacional,A090,10
2019-2020,TEA_operacional,T432,10
2019-2020,TEA_operacional,L600,9
2019-2020,TEA_operacional,F329,9
2019-2020,TEA_operacional,Q532,9
2019-2020,TEA_operacional,F323,9
2019-2020,TEA_operacional,K564,9
2019-2020,TEA_operacional,N44,8
2019-2020,TEA_operacional,F918,8
2019-2020,TEA_operacional,G410,8
2019-2020,TEA_operacional,S8280,8
2019-2020,TEA_operacional,C910,8
2019-2020,TEA_operacional,J690,8
2019-2020,TEA_operacional,A419,8
2019-2020,TEA_operacional,K429,7
2019-2020,TEA_operacional,J100,7
2019-2020,TEA_operacional,G419,7
2019-2020,TEA_operacional,F609,7
2019-2020,TEA_operacional,F209,7
2019-2020,TEA_operacional,R451,7
2019-2020,TEA_operacional,J960,7
2019-2020,TEA_operacional,T751,7
2019-2020,TEA_operacional,F238,6
2019-2020,TEA_operacional,M4145,6
2019-2020,TEA_operacional,T391,6
2019-2020,TEA_operacional,T424,6
2019-2020,TEA_operacional,Q381,6
2019-2020,TEA_operacional,J101,6
2019-2020,TEA_operacional,K859,6
2019-2020,TEA_operacional,K409,6
2019-2020,TEA_operacional,R11,6
2019-2020,TEA_operacional,Z470,6
2019-2020,TEA_operacional,K001,6
2019-2020,TEA_operacional,J9600,6
2019-2020,TEA_operacional,J352,6
2019-2020,TEA_operacional,K800,6
2019-2020,TEA_operacional,K802,6
2019-2020,TEA_operacional,N179,6
2019-2020,TEA_operacional,Z016,6
2019-2020,TEA_operacional,T433,6
2019-2020,TEA_operacional,T434,6
2019-2020,TEA_operacional,S5250,6
2019-2020,TEA_operacional,G418,6
2019-2020,TEA_operacional,K918,5
2019-2020,TEA_operacional,T212,5
2019-2020,TEA_operacional,J128,5
2019-2020,TEA_operacional,M2157,5
2019-2020,TEA_operacional,M4115,5
2019-2020,TEA_operacional,Q539,5
2019-2020,TEA_operacional,J350,5
2019-2020,TEA_operacional,T181,5
2019-2020,TEA_operacional,L040,5
2019-2020,TEA_operacional,T393,5
2019-2020,TEA_operacional,E86,5
2019-2020,TEA_operacional,S5240,5
2019-2020,TEA_operacional,S6261,5
2019-2020,TEA_operacional,K529,5
2019-2020,TEA_operacional,Z133,5
2019-2020,TEA_operacional,T850,5
2019-2020,TEA_operacional,D480,5
2019-2020,TEA_operacional,Z033,5
2019-2020,TEA_operacional,D690,4
2019-2020,TEA_operacional,G400,4
2019-2020,TEA_operacional,F200,4
2019-2020,TEA_operacional,J205,4
2019-2020,TEA_operacional,A499,4
2019-2020,TEA_operacional,G930,4
2019-2020,TEA_operacional,A38,4
2019-2020,TEA_operacional,G919,4
2019-2020,TEA_operacional,J00,4
2019-2020,TEA_operacional,K650,4
2019-2020,TEA_operacional,J9609,4
2019-2020,TEA_operacional,Q665,4
2019-2020,TEA_operacional,K210,4
2019-2020,TEA_operacional,D619,4
2019-2020,TEA_operacional,J069,4
2019-2020,TEA_operacional,G473,4
2019-2020,TEA_operacional,K047,4
2019-2020,TEA_operacional,J122,4
2019-2020,TEA_operacional,S5230,4
2019-2020,TEA_operacional,K219,4
2019-2020,TEA_operacional,F431,4
2019-2020,TEA_operacional,S0620,4
2019-2020,TEA_operacional,U071,4
2019-2020,TEA_operacional,S0690,4
2019-2020,TEA_operacional,N62,4
2019-2020,TEA_operacional,H652,4
2019-2020,TEA_operacional,L059,4
2019-2020,TEA_operacional,E109,4
2019-2020,TEA_operacional,I880,4
2019-2020,TEA_operacional,H509,4
2019-2020,TEA_operacional,A084,4
2019-2020,TEA_operacional,H501,4
