year,sheet,code,label,section,dictionary,excel_row,total_rule,age_sex_mapping
2023,A05,05990031,TRASTONO GENERALIZADO DEL DESARROLLO NO ESPECÍFICO,SECCIÓN O: EGRESOS DEL PROGRAMA DE SALUD  MENTAL POR ALTAS CLÍNICAS EN APS /ESPECIALIDAD,REM/SerieA/metadata/diccionarios/2023/DICCIONARIO CODIGOS SA_23_V1.4.xlsm,273,Col01,A05_Col04_Col37
2023,A28,29101629,TRASTORNO ESPECTRO AUTISTA,SECCIÓN A.2: INGRESOS POR CONDICIÓN DE SALUD,REM/SerieA/metadata/diccionarios/2023/DICCIONARIO CODIGOS SA_23_V1.4.xlsm,44,Col01,not_applied
2023,A28,29101651,TRASTORNO ESPECTRO AUTISTA,SECCIÓN B.1: INGRESOS Y EGRESOS  A REHABILITACIÓN INTEGRAL,REM/SerieA/metadata/diccionarios/2023/DICCIONARIO CODIGOS SA_23_V1.4.xlsm,175,Col01,not_applied
2024,A03,03500404,Niños/as con Control a los 18 meses,SECCIÓN F: TAMIZAJE TRASTORNO ESPECTRO AUTISTA  (MCHAT-RF),REM/SerieA/metadata/diccionarios/2024/DICCIONARIO CODIGOS SA_24_V1.1.xlsm,217,Col01+Col02,not_applied
2024,A03,03500405,Niños/as con alteración de área Lenguaje y/o Social en Control de los 18 meses,SECCIÓN F: TAMIZAJE TRASTORNO ESPECTRO AUTISTA  (MCHAT-RF),REM/SerieA/metadata/diccionarios/2024/DICCIONARIO CODIGOS SA_24_V1.1.xlsm,218,Col01+Col02,not_applied
2024,A03,09600212,Niños/as con sospecha del Espectro Autista en otros controles o consultas.,SECCIÓN F: TAMIZAJE TRASTORNO ESPECTRO AUTISTA  (MCHAT-RF),REM/SerieA/metadata/diccionarios/2024/DICCIONARIO CODIGOS SA_24_V1.1.xlsm,219,Col01+Col02,not_applied
2024,A03,09600213,Resultado M-CHAT R/F 1° parte | Riego Bajo,SECCIÓN F: TAMIZAJE TRASTORNO ESPECTRO AUTISTA  (MCHAT-RF),REM/SerieA/metadata/diccionarios/2024/DICCIONARIO CODIGOS SA_24_V1.1.xlsm,220,Col01+Col02,not_applied
2024,A03,09600214,Riesgo medio,SECCIÓN F: TAMIZAJE TRASTORNO ESPECTRO AUTISTA  (MCHAT-RF),REM/SerieA/metadata/diccionarios/2024/DICCIONARIO CODIGOS SA_24_V1.1.xlsm,221,Col01+Col02,not_applied
2024,A03,09600215,Riego Alto,SECCIÓN F: TAMIZAJE TRASTORNO ESPECTRO AUTISTA  (MCHAT-RF),REM/SerieA/metadata/diccionarios/2024/DICCIONARIO CODIGOS SA_24_V1.1.xlsm,222,Col01+Col02,not_applied
2024,A03,09600216,Riesgo Alto con derivación a especialista,SECCIÓN F: TAMIZAJE TRASTORNO ESPECTRO AUTISTA  (MCHAT-RF),REM/SerieA/metadata/diccionarios/2024/DICCIONARIO CODIGOS SA_24_V1.1.xlsm,223,Col01+Col02,not_applied
2024,A03,09600218,Resultado M-CHAT R/F 2° Parte | No requiere derivación,SECCIÓN F: TAMIZAJE TRASTORNO ESPECTRO AUTISTA  (MCHAT-RF),REM/SerieA/metadata/diccionarios/2024/DICCIONARIO CODIGOS SA_24_V1.1.xlsm,224,Col01+Col02,not_applied
2024,A03,09600219,Requiere derivación,SECCIÓN F: TAMIZAJE TRASTORNO ESPECTRO AUTISTA  (MCHAT-RF),REM/SerieA/metadata/diccionarios/2024/DICCIONARIO CODIGOS SA_24_V1.1.xlsm,225,Col01+Col02,not_applied
2024,A03,03700104,Niños/as evaluados en Control de Salud Integral,SECCIÓN F1: TAMIZAJE TRASTORNO ESPECTRO AUTISTA  (31 A 59 MESES),REM/SerieA/metadata/diccionarios/2024/DICCIONARIO CODIGOS SA_24_V1.1.xlsm,230,Col01+Col02,not_applied
2024,A03,03700105,Niños/as con sospecha del Espectro Autista en otros controles o consultas,SECCIÓN F1: TAMIZAJE TRASTORNO ESPECTRO AUTISTA  (31 A 59 MESES),REM/SerieA/metadata/diccionarios/2024/DICCIONARIO CODIGOS SA_24_V1.1.xlsm,231,Col01+Col02,not_applied
2024,A03,03700106,Sospecha de TEA según pauta de señales de alerta | Sí,SECCIÓN F1: TAMIZAJE TRASTORNO ESPECTRO AUTISTA  (31 A 59 MESES),REM/SerieA/metadata/diccionarios/2024/DICCIONARIO CODIGOS SA_24_V1.1.xlsm,232,Col01+Col02,not_applied
2024,A03,03700107,No,SECCIÓN F1: TAMIZAJE TRASTORNO ESPECTRO AUTISTA  (31 A 59 MESES),REM/SerieA/metadata/diccionarios/2024/DICCIONARIO CODIGOS SA_24_V1.1.xlsm,233,Col01+Col02,not_applied
2024,A03,03700108,Derivación | Si,SECCIÓN F1: TAMIZAJE TRASTORNO ESPECTRO AUTISTA  (31 A 59 MESES),REM/SerieA/metadata/diccionarios/2024/DICCIONARIO CODIGOS SA_24_V1.1.xlsm,234,Col01+Col02,not_applied
2024,A03,03700109,No,SECCIÓN F1: TAMIZAJE TRASTORNO ESPECTRO AUTISTA  (31 A 59 MESES),REM/SerieA/metadata/diccionarios/2024/DICCIONARIO CODIGOS SA_24_V1.1.xlsm,235,Col01+Col02,not_applied
2024,A05,05990022,Trastorno Generalizados del Desarrollo | Autismo,SECCIÓN N: INGRESOS AL PROGRAMA DE SALUD  MENTAL EN APS /ESPECIALIDAD,REM/SerieA/metadata/diccionarios/2024/DICCIONARIO CODIGOS SA_24_V1.1.xlsm,224,Col01,A05_Col04_Col37
2024,A05,05990023,Asperger,SECCIÓN N: INGRESOS AL PROGRAMA DE SALUD  MENTAL EN APS /ESPECIALIDAD,REM/SerieA/metadata/diccionarios/2024/DICCIONARIO CODIGOS SA_24_V1.1.xlsm,225,Col01,A05_Col04_Col37
2024,A05,05990024,Síndrome de Rett,SECCIÓN N: INGRESOS AL PROGRAMA DE SALUD  MENTAL EN APS /ESPECIALIDAD,REM/SerieA/metadata/diccionarios/2024/DICCIONARIO CODIGOS SA_24_V1.1.xlsm,226,Col01,A05_Col04_Col37
2024,A05,05990025,Trastorno Desintegrativo de la Infancia,SECCIÓN N: INGRESOS AL PROGRAMA DE SALUD  MENTAL EN APS /ESPECIALIDAD,REM/SerieA/metadata/diccionarios/2024/DICCIONARIO CODIGOS SA_24_V1.1.xlsm,227,Col01,A05_Col04_Col37
2024,A05,05990026,Trastorno Generalizado del Desarrollo no Específico,SECCIÓN N: INGRESOS AL PROGRAMA DE SALUD  MENTAL EN APS /ESPECIALIDAD,REM/SerieA/metadata/diccionarios/2024/DICCIONARIO CODIGOS SA_24_V1.1.xlsm,228,Col01,A05_Col04_Col37
2024,A05,05990027,Trastorno Generalizados del Desarrollo | Autismo,SECCIÓN O: EGRESOS DEL PROGRAMA DE SALUD  MENTAL POR ALTAS CLÍNICAS EN APS /ESPECIALIDAD,REM/SerieA/metadata/diccionarios/2024/DICCIONARIO CODIGOS SA_24_V1.1.xlsm,272,Col01,A05_Col04_Col37
2024,A05,05990028,Asperger,SECCIÓN O: EGRESOS DEL PROGRAMA DE SALUD  MENTAL POR ALTAS CLÍNICAS EN APS /ESPECIALIDAD,REM/SerieA/metadata/diccionarios/2024/DICCIONARIO CODIGOS SA_24_V1.1.xlsm,273,Col01,A05_Col04_Col37
2024,A05,05990029,Síndrome de Rett,SECCIÓN O: EGRESOS DEL PROGRAMA DE SALUD  MENTAL POR ALTAS CLÍNICAS EN APS /ESPECIALIDAD,REM/SerieA/metadata/diccionarios/2024/DICCIONARIO CODIGOS SA_24_V1.1.xlsm,274,Col01,A05_Col04_Col37
2024,A05,05990030,Trastorno Desintegrativo de la Infancia,SECCIÓN O: EGRESOS DEL PROGRAMA DE SALUD  MENTAL POR ALTAS CLÍNICAS EN APS /ESPECIALIDAD,REM/SerieA/metadata/diccionarios/2024/DICCIONARIO CODIGOS SA_24_V1.1.xlsm,275,Col01,A05_Col04_Col37
2024,A05,05990031,Trastorno Generalizado del Desarrollo no Específico,SECCIÓN O: EGRESOS DEL PROGRAMA DE SALUD  MENTAL POR ALTAS CLÍNICAS EN APS /ESPECIALIDAD,REM/SerieA/metadata/diccionarios/2024/DICCIONARIO CODIGOS SA_24_V1.1.xlsm,276,Col01,A05_Col04_Col37
