year,code,IdServicio,IdRegion,IdComuna,IdEstablecimiento,months_with_rows,rows,rows_total_known,months_positive,total_known,Col01
2017,05225000,5,4,04101,105301,3,3,3,0,0,0
2017,05225000,5,4,04101,105313,2,2,2,0,0,0
2017,05225000,5,4,04101,105319,2,2,2,1,1,1
2017,05225000,5,4,04101,105325,3,3,3,0,0,0
2017,05225000,5,4,04102,105101,1,1,1,1,1,1
2017,05225000,5,4,04102,105303,1,1,1,1,1,1
2017,05225000,5,4,04102,105305,5,5,5,5,6,6
2017,05225000,5,4,04105,105306,1,1,1,0,0,0
2017,05225000,5,4,04106,105107,2,2,2,0,0,0
2017,05225000,5,4,04201,105103,5,5,5,5,15,15
2017,05225000,5,4,04203,105478,1,1,1,1,2,2
2017,05225000,5,4,04203,105479,1,1,1,1,1,1
2017,05225000,5,4,04204,105456,1,1,1,1,2,2
2017,05225000,5,4,04204,105457,1,1,1,1,1,1
2017,05225000,5,4,04301,105317,1,1,1,1,1,1
2017,05225000,5,4,04301,105322,2,2,2,2,3,3
2017,05225000,5,4,04303,105431,1,1,1,1,1,1
2017,05225000,6,5,05101,106305,1,1,1,1,2,2
2017,05225000,6,5,05101,106306,1,1,1,0,0,0
2017,05225000,6,5,05101,106309,1,1,1,0,0,0
2017,05225000,6,5,05101,106312,1,1,1,1,1,1
2017,05225000,6,5,05101,106401,1,1,1,0,0,0
2017,05225000,6,5,05601,106319,1,1,1,1,1,1
2017,05225000,6,5,05601,106329,1,1,1,1,1,1
2017,05225000,6,5,05601,106336,2,2,2,1,1,1
2017,05225000,6,5,05601,106736,3,3,3,2,3,3
2017,05225000,6,5,05604,106328,1,1,1,0,0,0
2017,05225000,6,5,05605,106416,1,1,1,1,1,1
2017,05225000,7,5,05103,107305,1,1,1,1,1,1
2017,05225000,7,5,05103,107600,1,1,1,1,1,1
2017,05225000,7,5,05105,107315,1,1,1,1,1,1
2017,05225000,7,5,05109,107302,2,2,2,1,1,1
2017,05225000,7,5,05109,107304,1,1,1,1,4,4
2017,05225000,7,5,05109,107314,1,1,1,1,1,1
2017,05225000,7,5,05109,107326,1,1,1,1,1,1
2017,05225000,7,5,05109,107327,1,1,1,1,1,1
2017,05225000,7,5,05109,107703,2,2,2,0,0,0
2017,05225000,7,5,05109,107725,1,1,1,1,1,1
2017,05225000,7,5,05405,107414,1,1,1,1,1,1
2017,05225000,7,5,05501,107311,1,1,1,1,1,1
2017,05225000,7,5,05501,107312,3,3,3,3,4,4
2017,05225000,7,5,05502,107103,1,1,1,1,1,1
2017,05225000,7,5,05506,107713,1,1,1,1,1,1
2017,05225000,7,5,05801,107307,3,3,3,1,1,1
2017,05225000,7,5,05801,107308,1,1,1,1,1,1
2017,05225000,7,5,05801,107353,3,3,3,3,5,5
2017,05225000,7,5,05801,107756,2,2,2,2,2,2
2017,05225000,7,5,05803,107317,1,1,1,1,1,1
2017,05225000,7,5,05804,107309,3,3,3,2,2,2
2017,05225000,7,5,05804,107351,3,3,3,0,0,0
2017,05225000,8,5,05301,108306,1,1,1,1,1,1
2017,05225000,8,5,05301,108307,1,1,1,1,1,1
2017,05225000,8,5,05302,108308,2,2,2,1,1,1
2017,05225000,8,5,05701,108305,3,3,3,0,0,0
2017,05225000,8,5,05701,108310,2,2,2,2,3,3
2017,05225000,8,5,05701,108312,5,5,5,4,5,5
2017,05225000,8,5,05701,108712,2,2,2,2,2,2
2017,05225000,8,5,05701,200362,1,1,1,1,3,3
2017,05225000,8,5,05702,108303,1,1,1,1,1,1
2017,05225000,8,5,05704,108311,1,1,1,1,2,2
2017,05225000,8,5,05705,108105,3,3,3,3,5,5
2017,05225000,9,13,13104,109302,1,1,1,1,4,4
2017,05225000,9,13,13104,109314,1,1,1,0,0,0
2017,05225000,9,13,13104,109709,1,1,1,0,0,0
2017,05225000,9,13,13107,109323,3,3,3,1,1,1
2017,05225000,9,13,13108,109300,2,2,2,2,2,2
2017,05225000,9,13,13108,109321,1,1,1,0,0,0
2017,05225000,9,13,13108,109606,1,1,1,1,1,1
2017,05225000,9,13,13125,109313,2,2,2,0,0,0
2017,05225000,9,13,13125,109636,3,3,3,3,4,4
2017,05225000,9,13,13127,109304,2,2,2,1,1,1
2017,05225000,9,13,13127,109307,1,1,1,1,1,1
2017,05225000,9,13,13127,109390,1,1,1,0,0,0
2017,05225000,9,13,13301,109310,3,3,3,3,3,3
2017,05225000,9,13,13301,109316,1,1,1,1,8,8
2017,05225000,9,13,13301,109640,2,2,2,2,2,2
2017,05225000,9,13,13302,109311,4,4,4,4,4,4
2017,05225000,9,13,13302,109312,1,1,1,1,1,1
2017,05225000,9,13,13303,109642,1,1,1,1,2,2
2017,06902600,1,15,15101,101300,5,5,5,5,10,10
2017,06902600,1,15,15101,101302,6,6,6,6,7,7
2017,06902600,1,15,15101,101303,6,6,6,6,14,14
2017,06902600,1,15,15101,101305,4,4,4,4,5,5
2017,06902600,1,15,15101,101307,8,8,8,8,12,12
2017,06902600,1,15,15101,101400,2,2,2,2,2,2
2017,06902600,1,15,15101,101607,5,5,5,5,6,6
2017,06902600,1,15,15101,101608,8,8,8,8,19,19
2017,06902600,1,15,15101,101703,3,3,3,3,5,5
2017,06902600,1,15,15101,101704,3,3,3,3,3,3
2017,06902600,10,13,13101,110010,8,8,8,8,26,26
2017,06902600,10,13,13103,110330,2,2,2,2,2,2
2017,06902600,10,13,13117,110340,3,3,3,3,5,5
2017,06902600,10,13,13117,110345,4,4,4,4,4,4
2017,06902600,10,13,13124,110300,11,11,11,11,33,33
2017,06902600,10,13,13124,110351,8,8,8,8,10,10
2017,06902600,10,13,13124,110353,1,1,1,1,2,2
2017,06902600,10,13,13124,110354,2,2,2,2,9,9
2017,06902600,10,13,13126,110310,1,1,1,1,3,3
2017,06902600,10,13,13126,110720,1,1,1,1,1,1
2017,06902600,10,13,13128,110360,6,6,6,6,7,7
2017,06902600,10,13,13128,110361,7,7,7,7,8,8
2017,06902600,10,13,13128,110362,2,2,2,2,2,2
2017,06902600,10,13,13128,110364,3,3,3,3,3,3
2017,06902600,10,13,13501,110378,8,8,8,8,13,13
2017,06902600,10,13,13501,110379,3,3,3,3,7,7
2017,06902600,10,13,13501,110381,2,2,2,2,2,2
2017,06902600,10,13,13501,110440,1,1,1,1,2,2
2017,06902600,10,13,13504,110385,1,1,1,1,1,1
2017,06902600,10,13,13505,110387,3,3,3,3,4,4
2017,06902600,10,13,13505,110495,1,1,1,1,2,2
2017,06902600,10,13,13601,110390,4,4,4,4,5,5
2017,06902600,10,13,13601,110623,4,4,4,4,4,4
2017,06902600,10,13,13603,110375,1,1,1,1,1,1
2017,06902600,10,13,13603,110430,1,1,1,1,1,1
2017,06902600,10,13,13603,110431,2,2,2,2,3,3
2017,06902600,10,13,13605,110308,1,1,1,1,1,1
2017,06902600,10,13,13605,110369,2,2,2,2,3,3
2017,06902600,11,13,13101,111301,1,1,1,1,1,1
2017,06902600,11,13,13101,111372,2,2,2,2,2,2
2017,06902600,11,13,13101,111376,2,2,2,2,2,2
2017,06902600,11,13,13101,111381,3,3,3,3,4,4
2017,06902600,11,13,13101,111609,8,8,8,8,16,16
2017,06902600,11,13,13102,111305,3,3,3,3,4,4
2017,06902600,11,13,13102,111307,10,10,10,10,12,12
2017,06902600,11,13,13102,111608,4,4,4,4,5,5
2017,06902600,11,13,13106,111302,2,2,2,2,2,2
2017,06902600,11,13,13106,111306,1,1,1,1,1,1
2017,06902600,11,13,13106,111606,1,1,1,1,1,1
2017,06902600,11,13,13119,111304,5,5,5,5,9,9
2017,06902600,11,13,13119,111308,1,1,1,1,1,1
2017,06902600,11,13,13119,111309,2,2,2,2,2,2
2017,06902600,11,13,13119,111379,2,2,2,2,2,2
2017,06902600,11,13,13119,111380,1,1,1,1,1,1
2017,06902600,11,13,13119,111382,2,2,2,2,2,2
2017,06902600,11,13,13119,111383,3,3,3,3,4,4
2017,06902600,11,13,13119,111607,2,2,2,2,8,8
2017,06902600,11,13,13119,111782,1,1,1,1,1,1
2017,06902600,12,13,13113,112317,3,3,3,3,3,3
2017,06902600,12,13,13113,112606,2,2,2,2,3,3
2017,06902600,12,13,13114,112306,5,5,5,5,7,7
2017,06902600,12,13,13114,112609,4,4,4,4,6,6
2017,06902600,12,13,13115,112612,6,6,6,6,19,19
2017,06902600,12,13,13118,112313,5,5,5,5,8,8
2017,06902600,12,13,13118,112319,2,2,2,2,3,3
2017,06902600,12,13,13120,112310,5,5,5,5,7,7
2017,06902600,12,13,13120,112311,2,2,2,2,2,2
2017,06902600,12,13,13122,112300,8,8,8,8,14,14
2017,06902600,12,13,13122,112314,2,2,2,2,2,2
2017,06902600,12,13,13122,112315,1,1,1,1,2,2
2017,06902600,12,13,13122,112316,4,4,4,4,6,6
2017,06902600,12,13,13122,112318,5,5,5,5,25,25
2017,06902600,12,13,13122,112321,6,6,6,6,12,12
2017,06902600,12,13,13122,112322,4,4,4,4,5,5
2017,06902600,12,13,13122,112610,8,8,8,8,12,12
2017,06902600,12,13,13123,112100,3,3,3,3,3,3
2017,06902600,12,13,13123,112102,9,9,9,9,25,25
2017,06902600,12,13,13123,112301,3,3,3,3,3,3
2017,06902600,12,13,13123,112611,2,2,2,2,3,3
2017,06902600,12,13,13132,112309,1,1,1,1,1,1
2017,06902600,12,13,13132,112613,1,1,1,1,2,2
2017,06902600,12,5,05201,112107,1,1,1,1,2,2
2017,06902600,13,13,13105,113312,1,1,1,1,1,1
2017,06902600,13,13,13105,113324,1,1,1,1,1,1
2017,06902600,13,13,13105,113329,2,2,2,2,2,2
2017,06902600,13,13,13105,113337,1,1,1,1,1,1
2017,06902600,13,13,13109,113311,3,3,3,3,4,4
2017,06902600,13,13,13109,113326,4,4,4,4,6,6
2017,06902600,13,13,13116,113308,2,2,2,2,2,2
2017,06902600,13,13,13116,113309,2,2,2,2,2,2
2017,06902600,13,13,13116,113310,1,1,1,1,1,1
2017,06902600,13,13,13116,113396,4,4,4,4,5,5
2017,06902600,13,13,13116,113642,5,5,5,5,7,7
2017,06902600,13,13,13121,113303,3,3,3,3,6,6
2017,06902600,13,13,13121,113331,1,1,1,1,1,1
2017,06902600,13,13,13121,113338,5,5,5,5,9,9
2017,06902600,13,13,13121,113703,1,1,1,1,1,1
2017,06902600,13,13,13129,113301,1,1,1,1,1,1
2017,06902600,13,13,13129,113341,6,6,6,6,8,8
2017,06902600,13,13,13129,113701,2,2,2,2,3,3
2017,06902600,13,13,13129,200210,1,1,1,1,1,1
2017,06902600,13,13,13129,200337,1,1,1,1,1,1
2017,06902600,13,13,13130,113300,2,2,2,2,2,2
2017,06902600,13,13,13130,113302,2,2,2,2,3,3
2017,06902600,13,13,13401,113181,9,9,9,9,19,19
2017,06902600,13,13,13401,113313,2,2,2,2,2,2
2017,06902600,13,13,13401,113315,4,4,4,4,6,6
2017,06902600,13,13,13401,113316,2,2,2,2,3,3
2017,06902600,13,13,13401,113328,3,3,3,3,4,4
2017,06902600,13,13,13401,113330,5,5,5,5,5,5
2017,06902600,13,13,13401,113332,5,5,5,5,10,10
2017,06902600,13,13,13401,113394,2,2,2,2,2,2
2017,06902600,13,13,13401,113716,1,1,1,1,1,1
2017,06902600,13,13,13402,113150,10,10,10,10,21,21
2017,06902600,13,13,13402,113333,2,2,2,2,2,2
2017,06902600,13,13,13402,113390,5,5,5,5,6,6
2017,06902600,13,13,13402,113402,1,1,1,1,1,1
2017,06902600,13,13,13402,113404,1,1,1,1,1,1
2017,06902600,13,13,13402,113405,1,1,1,1,1,1
2017,06902600,13,13,13402,113790,2,2,2,2,2,2
2017,06902600,13,13,13404,113318,3,3,3,3,12,12
2017,06902600,13,13,13404,113408,1,1,1,1,1,1
2017,06902600,14,13,13110,114302,1,1,1,1,4,4
2017,06902600,14,13,13110,114303,1,1,1,1,1,1
2017,06902600,14,13,13110,114304,1,1,1,1,1,1
2017,06902600,14,13,13110,114305,3,3,3,3,6,6
2017,06902600,14,13,13110,114316,2,2,2,2,3,3
2017,06902600,14,13,13110,114330,7,7,7,7,9,9
2017,06902600,14,13,13110,114331,1,1,1,1,1,1
2017,06902600,14,13,13110,114334,4,4,4,4,6,6
2017,06902600,14,13,13110,114610,5,5,5,5,12,12
2017,06902600,14,13,13111,114315,1,1,1,1,1,1
2017,06902600,14,13,13112,114317,1,1,1,1,1,1
2017,06902600,14,13,13112,114319,1,1,1,1,1,1
2017,06902600,14,13,13131,114307,5,5,5,5,7,7
2017,06902600,14,13,13131,114314,8,8,8,8,12,12
2017,06902600,14,13,13131,114328,1,1,1,1,2,2
2017,06902600,14,13,13131,114606,10,10,10,10,382,382
2017,06902600,14,13,13131,114607,8,8,8,8,19,19
2017,06902600,14,13,13201,114301,11,11,11,11,33,33
2017,06902600,14,13,13201,114312,5,5,5,5,16,16
2017,06902600,14,13,13201,114313,6,6,6,6,15,15
2017,06902600,14,13,13201,114320,4,4,4,4,5,5
2017,06902600,14,13,13201,114321,7,7,7,7,15,15
2017,06902600,14,13,13201,114322,8,8,8,8,13,13
2017,06902600,14,13,13201,114323,2,2,2,2,3,3
2017,06902600,14,13,13201,114326,9,9,9,9,19,19
