series,year,cut_region,sex,count,population,crude,crude_lo,crude_hi,asr,asr_lo,asr_hi,asr_var,groups_missing,period,region
05990022,2023.0,12,TOTAL,40.0,182217.0,21.951848620051916,15.682722491199486,29.892187317310714,30.55997288473696,21.781803469356376,41.87818398043065,23.64603678265824,0.0,2023,Magallanes
05990022,2023.0,13,HOMBRE,1457.0,4138275.0,35.207906676090886,33.4230681484703,37.06330318361498,48.10278823845723,45.656669457161975,50.64658729878709,1.598135146349726,0.0,2023,Metropolitana
05990022,2023.0,13,MUJER,568.0,4229515.0,13.429435762729296,12.347583895634022,14.580685032084448,18.833486981033943,17.304330017088944,20.462936034285025,0.6345746987253842,0.0,2023,Metropolitana
05990022,2023.0,13,TOTAL,2025.0,8367790.0,24.19993809596082,23.157280010578617,25.277444262604455,33.69991577562898,32.241644688687806,35.207537649403626,0.5657673933113913,0.0,2023,Metropolitana
05990022,2023.0,14,HOMBRE,200.0,200948.0,99.52823616059877,86.21179742095335,114.31911821239818,139.82193721116894,121.04191122906975,160.7825500547402,98.53838701335029,0.0,2023,Los Ríos
05990022,2023.0,14,MUJER,58.0,210257.0,27.58528848028841,20.94666607068956,35.66038217262425,41.083221662345935,31.13462250676866,53.32148629994688,29.492237603551654,0.0,2023,Los Ríos
05990022,2023.0,14,TOTAL,258.0,411205.0,62.74242774285332,55.319342662718455,70.88407191495554,91.16791819781238,80.3324149007691,103.10545649024182,32.52089453121093,0.0,2023,Los Ríos
05990022,2023.0,15,HOMBRE,60.0,130999.0,45.80187635020115,34.95165684471428,58.95609386838321,57.194262462416695,43.59987541673911,73.86034020887865,54.912959118543746,0.0,2023,Arica y Parinacota
05990022,2023.0,15,MUJER,21.0,128803.0,16.30396807527775,10.09241320782605,24.92234709979069,21.289526594717813,13.153836063985505,32.762072263564335,21.73394506541247,0.0,2023,Arica y Parinacota
05990022,2023.0,15,TOTAL,81.0,259802.0,31.177589087074004,24.759506083149997,38.75089652124658,39.65492506171242,31.466352844903124,49.403290816042364,19.54226640208887,0.0,2023,Arica y Parinacota
05990022,2023.0,16,HOMBRE,612.0,250500.0,244.311377245509,225.33619133214773,264.457695416885,325.965962410207,300.53053589170105,353.0909141528083,175.2772953395044,0.0,2023,Ñuble
