year,code,IdRegion,IdComuna,Col01,Col02,Col03,total_known,rows,rows_total_known,reporting_establishments
2018,05225000,13,13501,7,6,1,7,5,5,3
2018,05225000,13,13505,1,1,0,1,1,1,1
2018,05225000,13,13601,2,2,0,2,2,2,2
2018,05225000,13,13603,2,2,0,2,2,2,2
2018,05225000,13,13604,3,0,3,3,2,2,1
2018,05225000,13,13605,1,0,1,1,2,2,1
2018,05225000,14,14101,10,6,4,10,9,9,4
2018,05225000,14,14106,2,2,0,2,2,2,1
2018,05225000,15,15101,27,24,3,27,36,36,9
2018,05225000,2,02101,12,8,4,12,11,11,7
2018,05225000,2,02104,0,0,0,0,1,1,1
2018,05225000,2,02201,3,2,1,3,3,3,2
2018,05225000,3,03202,1,0,1,1,1,1,1
2018,05225000,3,03304,1,0,1,1,1,1,1
2018,05225000,4,04101,14,9,5,14,16,16,8
2018,05225000,4,04102,11,10,1,11,13,13,5
2018,05225000,4,04105,0,0,0,0,1,1,1
2018,05225000,4,04106,0,0,0,0,1,1,1
2018,05225000,4,04201,2,2,0,2,2,2,1
2018,05225000,4,04204,1,0,1,1,1,1,1
2018,05225000,4,04301,11,10,1,11,7,7,3
2018,05225000,5,05101,1,1,0,1,3,3,3
2018,05225000,5,05103,0,0,0,0,1,1,1
2018,05225000,5,05104,1,1,0,1,1,1,1
2018,05225000,5,05109,8,5,3,8,12,12,7
2018,05225000,5,05301,1,1,0,1,1,1,1
2018,05225000,5,05302,4,2,2,4,4,4,1
2018,05225000,5,05401,1,1,0,1,1,1,1
2018,05225000,5,05405,5,4,1,5,5,5,2
2018,05225000,5,05501,26,22,4,26,11,11,4
2018,05225000,5,05506,2,2,0,2,1,1,1
2018,05225000,5,05601,4,3,1,4,10,10,4
2018,05225000,5,05602,4,4,0,4,1,1,1
2018,05225000,5,05606,2,1,1,2,2,2,1
2018,05225000,5,05701,18,13,5,18,12,12,5
2018,05225000,5,05702,1,0,1,1,2,2,1
2018,05225000,5,05706,1,1,0,1,1,1,1
2018,05225000,5,05801,11,7,4,11,16,16,6
2018,05225000,5,05803,2,1,1,2,2,2,1
2018,05225000,5,05804,1,1,0,1,3,3,3
2018,05225000,6,06101,4,3,1,4,11,11,5
2018,05225000,6,06104,2,1,1,2,2,2,2
2018,05225000,6,06105,1,1,0,1,1,1,1
2018,05225000,6,06108,0,0,0,0,1,1,1
2018,05225000,6,06110,4,3,1,4,1,1,1
2018,05225000,6,06112,0,0,0,0,2,2,1
2018,05225000,6,06113,1,0,1,1,1,1,1
2018,05225000,6,06115,4,3,1,4,4,4,4
2018,05225000,6,06117,12,9,3,12,7,7,2
2018,05225000,6,06201,1,0,1,1,1,1,1
2018,05225000,6,06301,1,1,0,1,4,4,2
2018,05225000,6,06303,0,0,0,0,2,2,1
2018,05225000,6,06310,3,3,0,3,3,3,1
2018,05225000,7,07101,16,10,6,16,12,12,3
2018,05225000,7,07201,1,1,0,1,1,1,1
2018,05225000,7,07301,2,2,0,2,7,7,2
2018,05225000,7,07401,7,4,3,7,4,4,3
2018,05225000,7,07402,1,1,0,1,1,1,1
2018,05225000,7,07404,3,3,0,3,1,1,1
2018,05225000,8,08101,32,26,6,32,24,24,7
2018,05225000,8,08102,5,5,0,5,6,6,4
2018,05225000,8,08103,2,2,0,2,4,4,3
2018,05225000,8,08104,0,0,0,0,1,1,1
2018,05225000,8,08106,23,15,8,23,7,7,3
2018,05225000,8,08107,1,1,0,1,4,4,2
2018,05225000,8,08108,6,6,0,6,5,5,3
2018,05225000,8,08110,26,17,9,26,21,21,7
2018,05225000,8,08111,6,5,1,6,9,9,3
2018,05225000,8,08112,7,7,0,7,6,6,3
2018,05225000,8,08201,2,1,1,2,2,2,1
2018,05225000,8,08202,15,7,8,15,10,10,3
2018,05225000,8,08203,8,7,1,8,5,5,2
2018,05225000,8,08205,8,1,7,8,1,1,1
2018,05225000,8,08206,5,3,2,5,2,2,2
2018,05225000,8,08207,3,2,1,3,3,3,2
2018,05225000,8,08301,16,8,8,16,10,10,3
2018,05225000,8,08304,0,0,0,0,1,1,1
2018,05225000,8,08307,1,0,1,1,1,1,1
2018,05225000,8,08310,2,1,1,2,1,1,1
2018,05225000,8,08312,1,1,0,1,3,3,3
2018,05225000,8,08401,14,8,6,14,13,13,5
2018,05225000,8,08402,2,1,1,2,2,2,2
2018,05225000,8,08405,0,0,0,0,1,1,1
2018,05225000,8,08413,0,0,0,0,1,1,1
2018,05225000,8,08416,6,5,1,6,8,8,3
2018,05225000,8,08421,1,1,0,1,1,1,1
2018,05225000,9,09101,9,8,1,9,10,10,6
2018,05225000,9,09108,0,0,0,0,1,1,1
2018,05225000,9,09112,1,1,0,1,1,1,1
2018,05225000,9,09113,1,0,1,1,1,1,1
2018,05225000,9,09114,1,1,0,1,2,2,1
