era,definition,window,position,group,patients
2021-2024,TEA_operacional,all,principal,Signos_desarrollo_habla,5
2021-2024,TEA_operacional,730d,principal,Signos_desarrollo_habla,4
2021-2024,TEA_operacional,365d,principal,Signos_desarrollo_habla,1
2021-2024,F84_historico,all,any,Animo_ansiedad_estres,486
2021-2024,F84_historico,730d,any,Animo_ansiedad_estres,444
2021-2024,F84_historico,all,any,Epilepsia,388
2021-2024,F84_historico,365d,any,Animo_ansiedad_estres,357
2021-2024,F84_historico,730d,any,Epilepsia,333
2021-2024,F84_historico,365d,any,Epilepsia,247
2021-2024,F84_historico,all,any,Signos_desarrollo_habla,229
2021-2024,F84_historico,all,any,Lenguaje_aprendizaje_desarrollo,221
2021-2024,F84_historico,all,principal,Animo_ansiedad_estres,217
2021-2024,F84_historico,730d,principal,Animo_ansiedad_estres,196
2021-2024,F84_historico,730d,any,Signos_desarrollo_habla,193
2021-2024,F84_historico,730d,any,Lenguaje_aprendizaje_desarrollo,185
2021-2024,F84_historico,all,principal,Epilepsia,180
2021-2024,F84_historico,365d,principal,Animo_ansiedad_estres,164
2021-2024,F84_historico,all,any,Conducta_emociones_infancia,154
2021-2024,F84_historico,730d,principal,Epilepsia,148
2021-2024,F84_historico,all,any,Discapacidad_intelectual,144
2021-2024,F84_historico,730d,any,Conducta_emociones_infancia,133
2021-2024,F84_historico,365d,any,Lenguaje_aprendizaje_desarrollo,132
2021-2024,F84_historico,365d,any,Signos_desarrollo_habla,129
2021-2024,F84_historico,730d,any,Discapacidad_intelectual,126
2021-2024,F84_historico,all,any,Hiperactividad_atencion,104
2021-2024,F84_historico,365d,any,Discapacidad_intelectual,96
2021-2024,F84_historico,365d,any,Conducta_emociones_infancia,95
2021-2024,F84_historico,365d,principal,Epilepsia,92
2021-2024,F84_historico,730d,any,Hiperactividad_atencion,89
2021-2024,F84_historico,all,any,Psicosis,81
2021-2024,F84_historico,730d,any,Psicosis,75
2021-2024,F84_historico,all,any,Audicion,73
2021-2024,F84_historico,365d,any,Hiperactividad_atencion,67
2021-2024,F84_historico,730d,any,Audicion,62
2021-2024,F84_historico,all,principal,Psicosis,60
2021-2024,F84_historico,365d,any,Psicosis,56
2021-2024,F84_historico,730d,principal,Psicosis,55
2021-2024,F84_historico,all,principal,Conducta_emociones_infancia,45
2021-2024,F84_historico,365d,any,Audicion,43
2021-2024,F84_historico,365d,principal,Psicosis,40
2021-2024,F84_historico,730d,principal,Conducta_emociones_infancia,38
2021-2024,F84_historico,365d,principal,Conducta_emociones_infancia,31
2021-2024,F84_historico,all,principal,Audicion,20
2021-2024,F84_historico,730d,principal,Audicion,15
2021-2024,F84_historico,all,principal,Discapacidad_intelectual,14
2021-2024,F84_historico,730d,principal,Discapacidad_intelectual,13
2021-2024,F84_historico,365d,principal,Audicion,9
2021-2024,F84_historico,all,principal,Hiperactividad_atencion,8
2021-2024,F84_historico,all,principal,Lenguaje_aprendizaje_desarrollo,8
2021-2024,F84_historico,365d,principal,Discapacidad_intelectual,7
2021-2024,F84_historico,730d,principal,Hiperactividad_atencion,6
2021-2024,F84_historico,730d,principal,Lenguaje_aprendizaje_desarrollo,6
2021-2024,F84_historico,365d,principal,Lenguaje_aprendizaje_desarrollo,5
2021-2024,F84_historico,365d,principal,Hiperactividad_atencion,5
2021-2024,F84_historico,all,principal,Signos_desarrollo_habla,5
2021-2024,F84_historico,730d,principal,Signos_desarrollo_habla,4
2021-2024,F84_historico,365d,principal,Signos_desarrollo_habla,1
