cut_comuna,comuna,comuna_norm,cut_region,region,region_short,continental
12104,San Gregorio,SAN GREGORIO,12,Magallanes y de la Antártica Chilena,Magallanes,True
12201,Cabo de Hornos,CABO DE HORNOS,12,Magallanes y de la Antártica Chilena,Magallanes,False
12202,Antártica,ANTARTICA,12,Magallanes y de la Antártica Chilena,Magallanes,False
12301,Porvenir,PORVENIR,12,Magallanes y de la Antártica Chilena,Magallanes,True
12302,Primavera,PRIMAVERA,12,Magallanes y de la Antártica Chilena,Magallanes,True
12303,Timaukel,TIMAUKEL,12,Magallanes y de la Antártica Chilena,Magallanes,True
12401,Natales,NATALES,12,Magallanes y de la Antártica Chilena,Magallanes,True
12402,Torres del Paine,TORRES DEL PAINE,12,Magallanes y de la Antártica Chilena,Magallanes,True
13101,Santiago,SANTIAGO,13,Metropolitana de Santiago,Metropolitana,True
13102,Cerrillos,CERRILLOS,13,Metropolitana de Santiago,Metropolitana,True
13103,Cerro Navia,CERRO NAVIA,13,Metropolitana de Santiago,Metropolitana,True
13104,Conchalí,CONCHALI,13,Metropolitana de Santiago,Metropolitana,True
13105,El Bosque,EL BOSQUE,13,Metropolitana de Santiago,Metropolitana,True
13106,Estación Central,ESTACION CENTRAL,13,Metropolitana de Santiago,Metropolitana,True
13107,Huechuraba,HUECHURABA,13,Metropolitana de Santiago,Metropolitana,True
13108,Independencia,INDEPENDENCIA,13,Metropolitana de Santiago,Metropolitana,True
13109,La Cisterna,LA CISTERNA,13,Metropolitana de Santiago,Metropolitana,True
13110,La Florida,LA FLORIDA,13,Metropolitana de Santiago,Metropolitana,True
13111,La Granja,LA GRANJA,13,Metropolitana de Santiago,Metropolitana,True
13112,La Pintana,LA PINTANA,13,Metropolitana de Santiago,Metropolitana,True
13113,La Reina,LA REINA,13,Metropolitana de Santiago,Metropolitana,True
13114,Las Condes,LAS CONDES,13,Metropolitana de Santiago,Metropolitana,True
13115,Lo Barnechea,LO BARNECHEA,13,Metropolitana de Santiago,Metropolitana,True
13116,Lo Espejo,LO ESPEJO,13,Metropolitana de Santiago,Metropolitana,True
13117,Lo Prado,LO PRADO,13,Metropolitana de Santiago,Metropolitana,True
13118,Macul,MACUL,13,Metropolitana de Santiago,Metropolitana,True
13119,Maipú,MAIPU,13,Metropolitana de Santiago,Metropolitana,True
13120,Ñuñoa,NUNOA,13,Metropolitana de Santiago,Metropolitana,True
13121,Pedro Aguirre Cerda,PEDRO AGUIRRE CERDA,13,Metropolitana de Santiago,Metropolitana,True
13122,Peñalolén,PENALOLEN,13,Metropolitana de Santiago,Metropolitana,True
13123,Providencia,PROVIDENCIA,13,Metropolitana de Santiago,Metropolitana,True
13124,Pudahuel,PUDAHUEL,13,Metropolitana de Santiago,Metropolitana,True
13125,Quilicura,QUILICURA,13,Metropolitana de Santiago,Metropolitana,True
13126,Quinta Normal,QUINTA NORMAL,13,Metropolitana de Santiago,Metropolitana,True
13127,Recoleta,RECOLETA,13,Metropolitana de Santiago,Metropolitana,True
13128,Renca,RENCA,13,Metropolitana de Santiago,Metropolitana,True
13129,San Joaquín,SAN JOAQUIN,13,Metropolitana de Santiago,Metropolitana,True
13130,San Miguel,SAN MIGUEL,13,Metropolitana de Santiago,Metropolitana,True
13131,San Ramón,SAN RAMON,13,Metropolitana de Santiago,Metropolitana,True
13132,Vitacura,VITACURA,13,Metropolitana de Santiago,Metropolitana,True
13201,Puente Alto,PUENTE ALTO,13,Metropolitana de Santiago,Metropolitana,True
13202,Pirque,PIRQUE,13,Metropolitana de Santiago,Metropolitana,True
13203,San José de Maipo,SAN JOSE DE MAIPO,13,Metropolitana de Santiago,Metropolitana,True
13301,Colina,COLINA,13,Metropolitana de Santiago,Metropolitana,True
13302,Lampa,LAMPA,13,Metropolitana de Santiago,Metropolitana,True
13303,Tiltil,TILTIL,13,Metropolitana de Santiago,Metropolitana,True
13401,San Bernardo,SAN BERNARDO,13,Metropolitana de Santiago,Metropolitana,True
13402,Buin,BUIN,13,Metropolitana de Santiago,Metropolitana,True
13403,Calera de Tango,CALERA DE TANGO,13,Metropolitana de Santiago,Metropolitana,True
13404,Paine,PAINE,13,Metropolitana de Santiago,Metropolitana,True
13501,Melipilla,MELIPILLA,13,Metropolitana de Santiago,Metropolitana,True
13502,Alhué,ALHUE,13,Metropolitana de Santiago,Metropolitana,True
13503,Curacaví,CURACAVI,13,Metropolitana de Santiago,Metropolitana,True
13504,María Pinto,MARIA PINTO,13,Metropolitana de Santiago,Metropolitana,True
13505,San Pedro,SAN PEDRO,13,Metropolitana de Santiago,Metropolitana,True
13601,Talagante,TALAGANTE,13,Metropolitana de Santiago,Metropolitana,True
13602,El Monte,EL MONTE,13,Metropolitana de Santiago,Metropolitana,True
13603,Isla de Maipo,ISLA DE MAIPO,13,Metropolitana de Santiago,Metropolitana,True
13604,Padre Hurtado,PADRE HURTADO,13,Metropolitana de Santiago,Metropolitana,True
13605,Peñaflor,PENAFLOR,13,Metropolitana de Santiago,Metropolitana,True
14101,Valdivia,VALDIVIA,14,Los Ríos,Los Ríos,True
14102,Corral,CORRAL,14,Los Ríos,Los Ríos,True
14103,Lanco,LANCO,14,Los Ríos,Los Ríos,True
14104,Los Lagos,LOS LAGOS,14,Los Ríos,Los Ríos,True
14105,Máfil,MAFIL,14,Los Ríos,Los Ríos,True
14106,Mariquina,MARIQUINA,14,Los Ríos,Los Ríos,True
14107,Paillaco,PAILLACO,14,Los Ríos,Los Ríos,True
14108,Panguipulli,PANGUIPULLI,14,Los Ríos,Los Ríos,True
14201,La Unión,LA UNION,14,Los Ríos,Los Ríos,True
14202,Futrono,FUTRONO,14,Los Ríos,Los Ríos,True
14203,Lago Ranco,LAGO RANCO,14,Los Ríos,Los Ríos,True
14204,Río Bueno,RIO BUENO,14,Los Ríos,Los Ríos,True
15101,Arica,ARICA,15,Arica y Parinacota,Arica y Parinacota,True
15102,Camarones,CAMARONES,15,Arica y Parinacota,Arica y Parinacota,True
15201,Putre,PUTRE,15,Arica y Parinacota,Arica y Parinacota,True
15202,General Lagos,GENERAL LAGOS,15,Arica y Parinacota,Arica y Parinacota,True
16101,Chillán,CHILLAN,16,Ñuble,Ñuble,True
16102,Bulnes,BULNES,16,Ñuble,Ñuble,True
16103,Chillán Viejo,CHILLAN VIEJO,16,Ñuble,Ñuble,True
16104,El Carmen,EL CARMEN,16,Ñuble,Ñuble,True
16105,Pemuco,PEMUCO,16,Ñuble,Ñuble,True
16106,Pinto,PINTO,16,Ñuble,Ñuble,True
16107,Quillón,QUILLON,16,Ñuble,Ñuble,True
16108,San Ignacio,SAN IGNACIO,16,Ñuble,Ñuble,True
16109,Yungay,YUNGAY,16,Ñuble,Ñuble,True
16201,Quirihue,QUIRIHUE,16,Ñuble,Ñuble,True
16202,Cobquecura,COBQUECURA,16,Ñuble,Ñuble,True
16203,Coelemu,COELEMU,16,Ñuble,Ñuble,True
16204,Ninhue,NINHUE,16,Ñuble,Ñuble,True
16205,Portezuelo,PORTEZUELO,16,Ñuble,Ñuble,True
16206,Ránquil,RANQUIL,16,Ñuble,Ñuble,True
16207,Treguaco,TREGUACO,16,Ñuble,Ñuble,True
16301,San Carlos,SAN CARLOS,16,Ñuble,Ñuble,True
16302,Coihueco,COIHUECO,16,Ñuble,Ñuble,True
16303,Ñiquén,NIQUEN,16,Ñuble,Ñuble,True
16304,San Fabián,SAN FABIAN,16,Ñuble,Ñuble,True
16305,San Nicolás,SAN NICOLAS,16,Ñuble,Ñuble,True
