era,definition,window,position,code,patients
2019-2020,autismo_F840,all,any,F848,2
2019-2020,autismo_F840,365d,any,F322,2
2019-2020,autismo_F840,730d,any,R440,2
2019-2020,autismo_F840,730d,any,K297,2
2019-2020,autismo_F840,730d,any,J351,2
2019-2020,autismo_F840,730d,any,J42,2
2019-2020,autismo_F840,365d,any,D696,2
2019-2020,autismo_F840,365d,any,D695,2
2019-2020,autismo_F840,365d,any,G404,2
2019-2020,autismo_F840,all,any,N433,2
2019-2020,autismo_F840,730d,any,I151,2
2019-2020,autismo_F840,730d,any,J988,2
2019-2020,autismo_F840,365d,principal,F323,2
2019-2020,autismo_F840,365d,principal,G408,2
2019-2020,autismo_F840,all,any,N26,2
2019-2020,autismo_F840,730d,any,K429,2
2019-2020,autismo_F840,all,any,G934,2
2019-2020,autismo_F840,all,any,M8698,2
2019-2020,autismo_F840,730d,any,R040,2
2019-2020,autismo_F840,all,any,G919,2
2019-2020,autismo_F840,365d,any,E876,2
2019-2020,autismo_F840,730d,any,H521,2
2019-2020,autismo_F840,730d,any,H522,2
2019-2020,autismo_F840,730d,principal,T827,2
2019-2020,autismo_F840,all,any,R040,2
2019-2020,autismo_F840,730d,any,H55,2
2019-2020,autismo_F840,all,any,B978,2
2019-2020,autismo_F840,all,any,F988,2
2019-2020,autismo_F840,all,principal,N10,2
2019-2020,autismo_F840,all,any,N185,2
2019-2020,autismo_F840,all,any,G809,2
2019-2020,autismo_F840,730d,any,J9609,2
2019-2020,autismo_F840,730d,any,H902,2
2019-2020,autismo_F840,730d,any,R263,2
2019-2020,autismo_F840,all,principal,N47,2
2019-2020,autismo_F840,365d,any,F209,2
2019-2020,autismo_F840,all,any,G729,2
2019-2020,autismo_F840,all,any,G479,2
2019-2020,autismo_F840,365d,principal,N179,2
2019-2020,autismo_F840,365d,any,G479,2
2019-2020,autismo_F840,all,any,Q315,2
2019-2020,autismo_F840,all,any,Q798,2
2019-2020,autismo_F840,365d,principal,F918,2
2019-2020,autismo_F840,365d,principal,J189,2
2019-2020,autismo_F840,730d,any,J039,2
2019-2020,autismo_F840,all,any,F942,2
2019-2020,autismo_F840,365d,principal,J129,2
2019-2020,autismo_F840,all,any,G402,2
2019-2020,autismo_F840,all,principal,J351,2
2019-2020,autismo_F840,730d,any,T310,2
2019-2020,autismo_F840,730d,any,T391,2
2019-2020,autismo_F840,all,any,Q539,2
2019-2020,autismo_F840,730d,any,T424,2
2019-2020,autismo_F840,all,any,F913,2
2019-2020,autismo_F840,all,any,Q600,2
2019-2020,autismo_F840,730d,any,J189,2
2019-2020,autismo_F840,365d,any,F28,2
2019-2020,autismo_F840,365d,principal,G401,2
2019-2020,autismo_F840,365d,any,F171,2
2019-2020,autismo_F840,365d,principal,J351,2
2019-2020,autismo_F840,365d,any,G729,2
2019-2020,autismo_F840,730d,any,J129,2
2019-2020,autismo_F840,730d,any,I828,2
2019-2020,autismo_F840,365d,principal,N10,2
2019-2020,autismo_F840,730d,any,R590,2
2019-2020,autismo_F840,730d,any,I288,2
2019-2020,autismo_F840,730d,any,R628,2
2019-2020,autismo_F840,all,any,P271,2
2019-2020,autismo_F840,730d,any,R730,2
2019-2020,autismo_F840,all,any,B970,2
2019-2020,autismo_F840,all,any,F901,2
2019-2020,autismo_F840,all,any,B968,2
2019-2020,autismo_F840,730d,any,I517,2
2019-2020,autismo_F840,all,principal,N179,2
2019-2020,autismo_F840,365d,principal,K851,2
2019-2020,autismo_F840,365d,any,F319,2
2019-2020,autismo_F840,365d,any,D480,2
2019-2020,autismo_F840,365d,principal,T391,2
2019-2020,autismo_F840,730d,any,K001,2
2019-2020,autismo_F840,all,any,G404,2
2019-2020,autismo_F840,730d,any,K010,2
2019-2020,autismo_F840,365d,principal,K010,2
2019-2020,autismo_F840,730d,any,K564,2
2019-2020,autismo_F840,all,any,F28,2
2019-2020,autismo_F840,all,any,F729,2
2019-2020,autismo_F840,all,principal,Q665,2
2019-2020,autismo_F840,all,any,I517,2
2019-2020,autismo_F840,730d,any,F209,2
2019-2020,autismo_F840,365d,any,F638,2
2019-2020,autismo_F840,730d,any,F171,2
2019-2020,autismo_F840,730d,any,F848,2
2019-2020,autismo_F840,730d,any,N185,2
2019-2020,autismo_F840,all,any,J90,2
2019-2020,autismo_F840,all,any,J9609,2
2019-2020,autismo_F840,730d,any,F901,2
2019-2020,autismo_F840,all,any,I288,2
2019-2020,autismo_F840,730d,any,F913,2
2019-2020,autismo_F840,730d,any,E875,2
2019-2020,autismo_F840,730d,any,F942,2
2019-2020,autismo_F840,730d,any,N26,2
2019-2020,autismo_F840,all,any,I151,2
2019-2020,autismo_F840,730d,any,F988,2
2019-2020,autismo_F840,all,any,J988,2
2019-2020,autismo_F840,all,any,K001,2
2019-2020,autismo_F840,all,any,K010,2
2019-2020,autismo_F840,365d,any,F600,2
2019-2020,autismo_F840,730d,any,E660,2
2019-2020,autismo_F840,365d,any,F942,2
2019-2020,autismo_F840,730d,any,E441,2
2019-2020,autismo_F840,all,any,J42,2
2019-2020,autismo_F840,365d,any,F89,2
2019-2020,autismo_F840,all,any,J351,2
2019-2020,autismo_F840,all,any,F209,2
2019-2020,autismo_F840,730d,any,F600,2
2019-2020,autismo_F840,730d,any,M8698,2
2019-2020,autismo_F840,730d,any,F700,2
2019-2020,autismo_F840,730d,any,F459,2
2019-2020,autismo_F840,365d,any,F729,2
2019-2020,autismo_F840,all,principal,K851,2
2019-2020,autismo_F840,all,any,J039,2
2019-2020,autismo_F840,all,any,F319,2
2019-2020,autismo_F840,all,any,J129,2
2019-2020,autismo_F840,730d,any,F729,2
2019-2020,autismo_F840,all,any,I828,2
2019-2020,autismo_F840,730d,any,F28,2
2019-2020,autismo_F840,all,any,J189,2
2019-2020,autismo_F840,365d,any,F711,2
2019-2020,autismo_F840,all,any,F322,2
2019-2020,autismo_F840,730d,any,M2555,2
2019-2020,autismo_F840,730d,any,F322,2
2019-2020,autismo_F840,all,any,F171,2
2019-2020,autismo_F840,365d,any,F709,2
2019-2020,autismo_F840,730d,any,F319,2
2019-2020,autismo_F840,365d,any,F848,2
2019-2020,autismo_F840,365d,any,F700,2
2019-2020,autismo_F840,all,any,E875,2
2019-2020,autismo_F840,730d,any,N433,2
2019-2020,autismo_F840,all,principal,K010,2
2019-2020,autismo_F840,730d,any,E109,2
2019-2020,autismo_F840,730d,any,B968,2
2019-2020,autismo_F840,730d,any,G479,2
2019-2020,autismo_F840,730d,any,Q315,2
2019-2020,autismo_F840,all,any,L031,2
2019-2020,autismo_F840,all,any,H55,2
2019-2020,autismo_F840,all,any,D695,2
2019-2020,autismo_F840,all,any,H522,2
2019-2020,autismo_F840,all,any,H521,2
2019-2020,autismo_F840,730d,any,Q539,2
2019-2020,autismo_F840,all,any,D66,2
2019-2020,autismo_F840,730d,any,Q600,2
2019-2020,autismo_F840,all,any,F700,2
2019-2020,autismo_F840,all,any,D480,2
2019-2020,autismo_F840,730d,any,G729,2
2019-2020,autismo_F840,730d,any,K851,2
