era,definition,index_year,index_role,sex,age_band,patients,prior_hospitalization,prior_candidate_group,age_median
2021-2024,autismo_F840,2023,principal,HOMBRE,20+,9,4,3,23.953456536618756
2021-2024,autismo_F840,2023,principal,HOMBRE,5-9,19,2,1,7.8056125941136205
2021-2024,autismo_F840,2023,principal,MUJER,0-4,10,2,1,2.908966461327857
2021-2024,autismo_F840,2023,principal,MUJER,10-14,17,4,4,13.609856262833675
2021-2024,autismo_F840,2023,principal,MUJER,15-19,9,2,1,16.878850102669404
2021-2024,autismo_F840,2023,principal,MUJER,20+,2,0,0,23.003422313483917
2021-2024,autismo_F840,2023,principal,MUJER,5-9,6,0,0,7.27583846680356
2021-2024,autismo_F840,2023,solo_secundario,HOMBRE,0-4,719,184,56,3.7180013689253935
2021-2024,autismo_F840,2023,solo_secundario,HOMBRE,10-14,563,83,41,12.424366872005475
2021-2024,autismo_F840,2023,solo_secundario,HOMBRE,15-19,240,46,30,16.576317590691307
2021-2024,autismo_F840,2023,solo_secundario,HOMBRE,20+,188,44,29,27.342915811088297
2021-2024,autismo_F840,2023,solo_secundario,HOMBRE,5-9,980,146,46,6.954140999315538
2021-2024,autismo_F840,2023,solo_secundario,MUJER,0-4,230,47,18,3.623545516769336
2021-2024,autismo_F840,2023,solo_secundario,MUJER,10-14,345,74,56,13.190965092402465
2021-2024,autismo_F840,2023,solo_secundario,MUJER,15-19,179,44,36,16.462696783025326
2021-2024,autismo_F840,2023,solo_secundario,MUJER,20+,129,24,15,26.934976043805612
2021-2024,autismo_F840,2023,solo_secundario,MUJER,5-9,243,40,17,6.91854893908282
2021-2024,autismo_F840,2024,principal,HOMBRE,0-4,8,4,1,3.908281998631075
2021-2024,autismo_F840,2024,principal,HOMBRE,10-14,32,5,4,13.17180013689254
2021-2024,autismo_F840,2024,principal,HOMBRE,15-19,16,3,2,17.509924709103352
2021-2024,autismo_F840,2024,principal,HOMBRE,20+,13,5,4,29.557837097878167
2021-2024,autismo_F840,2024,principal,HOMBRE,5-9,23,1,1,7.572895277207392
2021-2024,autismo_F840,2024,principal,MUJER,10-14,28,5,4,13.21697467488022
2021-2024,autismo_F840,2024,principal,MUJER,15-19,10,3,3,16.611909650924026
