era,definition,first_principal,last_prior_principal,index_role,patients
2019-2020,TEA_operacional,Q012,Q019,solo_secundario,1
2019-2020,TEA_operacional,K918,K918,solo_secundario,1
2019-2020,TEA_operacional,K914,K914,solo_secundario,1
2019-2020,TEA_operacional,K859,S219,solo_secundario,1
2019-2020,TEA_operacional,Z540,Z540,solo_secundario,1
2019-2020,TEA_operacional,K801,T810,solo_secundario,1
2019-2020,TEA_operacional,K639,Z518,solo_secundario,1
2019-2020,TEA_operacional,K635,Q668,solo_secundario,1
2019-2020,TEA_operacional,Z653,Z653,solo_secundario,1
2019-2020,TEA_operacional,Z763,C222,solo_secundario,1
2019-2020,TEA_operacional,K590,J353,solo_secundario,1
2019-2020,TEA_operacional,K590,J159,solo_secundario,1
2019-2020,TEA_operacional,K590,J00,solo_secundario,1
2019-2020,TEA_operacional,K561,Z511,solo_secundario,1
2019-2020,TEA_operacional,K559,I880,solo_secundario,1
2019-2020,TEA_operacional,K429,K429,solo_secundario,1
2019-2020,TEA_operacional,K918,Q375,solo_secundario,1
2019-2020,TEA_operacional,L031,L031,solo_secundario,1
2019-2020,TEA_operacional,L040,L040,solo_secundario,1
2019-2020,TEA_operacional,Z518,Q234,solo_secundario,1
2019-2020,TEA_operacional,M8698,A047,solo_secundario,1
2019-2020,TEA_operacional,M359,M359,solo_secundario,1
2019-2020,TEA_operacional,M2318,M2318,solo_secundario,1
2019-2020,TEA_operacional,M2176,M2389,solo_secundario,1
2019-2020,TEA_operacional,M2157,N390,solo_secundario,1
2019-2020,TEA_operacional,M2117,M2117,solo_secundario,1
2019-2020,TEA_operacional,M2106,M2106,solo_secundario,1
2019-2020,TEA_operacional,L059,L059,solo_secundario,1
2019-2020,TEA_operacional,L923,Q211,solo_secundario,1
2019-2020,TEA_operacional,Z518,Q668,solo_secundario,1
2019-2020,TEA_operacional,L732,L732,solo_secundario,1
2019-2020,TEA_operacional,L720,C910,solo_secundario,1
2019-2020,TEA_operacional,L600,L600,solo_secundario,1
2019-2020,TEA_operacional,L211,L211,solo_secundario,1
2019-2020,TEA_operacional,P916,P916,solo_secundario,1
2019-2020,TEA_operacional,T634,T634,solo_secundario,1
2019-2020,TEA_operacional,Q02,D65,solo_secundario,1
2019-2020,TEA_operacional,R13,J129,solo_secundario,1
2019-2020,TEA_operacional,S0690,S0690,solo_secundario,1
2019-2020,TEA_operacional,S0620,S009,solo_secundario,1
2019-2020,TEA_operacional,S059,S059,solo_secundario,1
2019-2020,TEA_operacional,S0220,S0220,solo_secundario,1
2019-2020,TEA_operacional,S011,S011,solo_secundario,1
2019-2020,TEA_operacional,R620,R620,solo_secundario,1
2019-2020,TEA_operacional,R568,Z033,solo_secundario,1
2019-2020,TEA_operacional,R568,G419,solo_secundario,1
2019-2020,TEA_operacional,R568,G409,solo_secundario,1
2019-2020,TEA_operacional,R560,T242,solo_secundario,1
2019-2020,TEA_operacional,R560,S611,solo_secundario,1
2019-2020,TEA_operacional,T824,T824,solo_secundario,1
2019-2020,TEA_operacional,T827,T827,solo_secundario,1
2019-2020,TEA_operacional,R522,N359,solo_secundario,1
2019-2020,TEA_operacional,T850,M5492,solo_secundario,1
2019-2020,TEA_operacional,T781,T781,solo_secundario,1
2019-2020,TEA_operacional,S099,S099,solo_secundario,1
2019-2020,TEA_operacional,S398,Z513,solo_secundario,1
2019-2020,TEA_operacional,S830,S830,solo_secundario,1
2019-2020,TEA_operacional,T405,T850,solo_secundario,1
2019-2020,TEA_operacional,T391,T391,solo_secundario,1
2019-2020,TEA_operacional,T251,T251,solo_secundario,1
2019-2020,TEA_operacional,T243,T243,solo_secundario,1
2019-2020,TEA_operacional,T231,T231,solo_secundario,1
2019-2020,TEA_operacional,T182,T182,solo_secundario,1
