definition,role,TIPO_ACTIVIDAD,age_band,n,mean,sd,median,q25,q75,p90,max,total_days,n_los0
TEA_operacional,solo_secundario,HOSPITALIZACIÓN EN URGENCIA,15-19,20,2.85,3.74552364408784,2.0,0.0,4.0,4.6000000000000085,15.0,57.0,6
TEA_operacional,solo_secundario,HOSPITALIZACIÓN EN URGENCIA,20-29,11,4.2727272727272725,3.9772077916777016,3.0,1.5,6.0,10.0,12.0,47.0,1
TEA_operacional,solo_secundario,HOSPITALIZACIÓN EN URGENCIA,30-44,4,0.5,0.5773502691896257,0.5,0.0,1.0,1.0,1.0,2.0,2
TEA_operacional,solo_secundario,HOSPITALIZACIÓN EN URGENCIA,45+,3,1.0,1.0,1.0,0.5,1.5,1.8,2.0,3.0,1
TEA_operacional,solo_secundario,HOSPITALIZACIÓN EN URGENCIA,5-9,17,1.0,1.1726039399558574,1.0,0.0,1.0,2.4000000000000004,4.0,17.0,7
F84_historico,principal,CIRUGÍA MAYOR AMBULATORIA (CMA),0-4,1,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1
F84_historico,principal,CIRUGÍA MAYOR AMBULATORIA (CMA),10-14,1,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1
F84_historico,principal,CIRUGÍA MAYOR AMBULATORIA (CMA),5-9,1,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1
F84_historico,principal,HOSPITALIZACIÓN,0-4,129,2.635658914728682,7.190421128678901,1.0,1.0,2.0,6.0,64.0,340.0,30
F84_historico,principal,HOSPITALIZACIÓN,10-14,506,15.256916996047432,32.037558428822656,7.0,2.0,17.0,30.0,413.0,7720.0,24
F84_historico,principal,HOSPITALIZACIÓN,15-19,429,23.17948717948718,80.91444627274078,9.0,3.0,21.0,40.19999999999999,1444.0,9944.0,21
F84_historico,principal,HOSPITALIZACIÓN,20-29,213,27.732394366197184,52.60567739998854,14.0,5.0,32.0,58.60000000000002,506.0,5907.0,5
F84_historico,principal,HOSPITALIZACIÓN,30-44,84,37.82142857142857,95.54777530957641,15.5,6.0,38.5,60.0,807.0,3177.0,0
F84_historico,principal,HOSPITALIZACIÓN,45+,9,40.666666666666664,83.49101748092426,11.0,5.0,19.0,85.80000000000004,261.0,366.0,0
F84_historico,principal,HOSPITALIZACIÓN,5-9,214,4.186915887850467,5.982966182447448,2.0,1.0,6.0,9.0,37.0,896.0,29
F84_historico,principal,HOSPITALIZACIÓN DIURNA,0-4,1,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1
F84_historico,principal,HOSPITALIZACIÓN DIURNA,5-9,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7
F84_historico,principal,HOSPITALIZACIÓN EN URGENCIA,10-14,5,5.8,9.093954035511725,2.0,1.0,3.0,14.400000000000002,22.0,29.0,0
F84_historico,principal,HOSPITALIZACIÓN EN URGENCIA,15-19,7,3.142857142857143,3.132015933791495,2.0,1.0,5.0,7.4,8.0,22.0,1
F84_historico,principal,HOSPITALIZACIÓN EN URGENCIA,20-29,4,4.25,2.5,4.5,3.25,5.5,6.4,7.0,17.0,0
F84_historico,principal,HOSPITALIZACIÓN EN URGENCIA,5-9,1,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,0
F84_historico,principal_y_secundario,HOSPITALIZACIÓN,0-4,6,3.0,1.6733200530681511,3.5,1.5,4.0,4.5,5.0,18.0,0
F84_historico,principal_y_secundario,HOSPITALIZACIÓN,10-14,18,28.833333333333332,65.55935792672703,7.0,2.25,17.25,61.900000000000006,280.0,519.0,2
F84_historico,principal_y_secundario,HOSPITALIZACIÓN,15-19,11,27.454545454545453,38.91108745939552,15.0,5.5,28.0,59.0,133.0,302.0,0
F84_historico,principal_y_secundario,HOSPITALIZACIÓN,20-29,10,77.0,181.83997849146866,16.0,8.25,29.25,116.79999999999981,592.0,770.0,0
F84_historico,principal_y_secundario,HOSPITALIZACIÓN,30-44,3,37.666666666666664,11.06044001535804,39.0,32.5,43.5,46.2,48.0,113.0,0
F84_historico,principal_y_secundario,HOSPITALIZACIÓN,5-9,2,8.0,9.899494936611665,8.0,4.5,11.5,13.6,15.0,16.0,0
F84_historico,solo_secundario,CIRUGÍA MAYOR AMBULATORIA (CMA),0-4,404,0.022277227722772276,0.1477667076074951,0.0,0.0,0.0,0.0,1.0,9.0,395
