unit,year,cut_region,sex,count,population,crude,crude_lo,crude_hi,asr,asr_lo,asr_hi,asr_var,groups_missing,period,region
records,2022.0,12,HOMBRE,54.0,92124.0,58.61664712778429,44.03462938272845,76.48200945867603,76.38271564565089,57.20847186491305,100.3753334240654,110.17364985262047,0,2022,Magallanes
records,2022.0,12,MUJER,6.0,89019.0,6.740134128669161,2.473510434279031,14.670434426941085,9.190128619001614,3.278610993590514,20.822267859098996,14.715286095874733,0,2022,Magallanes
records,2022.0,12,TOTAL,60.0,181143.0,33.12300226892565,25.276340211880814,42.63586967569452,44.2708049925994,33.69265980593488,57.32266515091612,33.27503854189233,0,2022,Magallanes
records,2022.0,13,HOMBRE,941.0,4107724.0,22.908062956518012,21.46759062384993,24.419769436246504,30.97365494458704,29.018407926999558,33.026929223991985,1.0276290409982645,0,2022,Metropolitana
records,2022.0,13,MUJER,331.0,4203260.0,7.874840005138869,7.049242107149757,8.77056758479997,11.012498201268453,9.849550742370123,12.276721927071032,0.37189417276420317,0,2022,Metropolitana
records,2022.0,13,TOTAL,1272.0,8310984.0,15.305046911412656,14.475417003019798,16.169831172686415,21.148876513141904,19.99697477879234,22.35041172465758,0.35506095280799516,0,2022,Metropolitana
records,2022.0,14,HOMBRE,48.0,200335.0,23.959867222402476,17.666114669669923,31.76730785041419,31.821260955862797,23.406680888451092,42.42355067484524,21.40271658216776,0,2022,Los Ríos
records,2022.0,14,MUJER,14.0,209224.0,6.691392956830956,3.6582467959223584,11.227020380948447,9.208649309732012,5.007773670941961,15.741999587805372,6.149857692560761,0,2022,Los Ríos
records,2022.0,14,TOTAL,62.0,409559.0,15.138234051748343,11.60639724341855,19.4065328501501,20.639443899643783,15.788656799770466,26.588044491247505,6.979932974005147,0,2022,Los Ríos
records,2022.0,15,HOMBRE,83.0,129821.0,63.934186302678306,50.92322251238482,79.25604316502421,76.0158366255901,60.46348074250184,94.55611393855887,70.41229988749059,0,2022,Arica y Parinacota
