Scale,Indicator,Value type,Weight definition,Period,Subset,n,Moran's I,E[I],z,Analytic p,p (999 perm.)
Comuna,Urban %,Observed value,queen,full period,all comunas,342,0.2601,−0.0029,7.10,< 0.001,0.001
Comuna,Urban %,Observed value,knn4,full period,all comunas,342,0.3741,−0.0029,10.61,< 0.001,0.001
Comuna,Urban %,Observed value,knn8,full period,all comunas,342,0.3283,−0.0029,13.16,< 0.001,0.001
Comuna,Urban %,Observed value,idw,full period,all comunas,342,0.2312,−0.0029,11.27,< 0.001,0.001
Comuna,FONASA/INE %,Observed value,queen,full period,all comunas,342,0.2390,−0.0029,6.53,< 0.001,0.001
Comuna,FONASA/INE %,Observed value,knn4,full period,all comunas,342,0.3560,−0.0029,10.10,< 0.001,0.001
Comuna,FONASA/INE %,Observed value,knn8,full period,all comunas,342,0.3222,−0.0029,12.91,< 0.001,0.001
Comuna,FONASA/INE %,Observed value,idw,full period,all comunas,342,0.2835,−0.0029,13.79,< 0.001,0.001
Comuna,GRD F84 episodes,Empirical-Bayes smoothed standardised ratio,queen,2019,all comunas,342,0.1846,−0.0029,5.07,< 0.001,0.001
Comuna,GRD F84 episodes,Empirical-Bayes smoothed standardised ratio,queen,2020,all comunas,342,0.0807,−0.0029,2.26,0.024,0.010
Comuna,GRD F84 episodes,Empirical-Bayes smoothed standardised ratio,queen,2021,all comunas,342,0.1934,−0.0029,5.30,< 0.001,0.001
Comuna,GRD F84 episodes,Empirical-Bayes smoothed standardised ratio,queen,2022,all comunas,342,0.2161,−0.0029,5.92,< 0.001,0.001
Comuna,GRD F84 episodes,Empirical-Bayes smoothed standardised ratio,queen,2023,all comunas,342,0.2769,−0.0029,7.56,< 0.001,0.001
Comuna,GRD F84 episodes,Empirical-Bayes smoothed standardised ratio,queen,2024,all comunas,342,0.3190,−0.0029,8.69,< 0.001,0.001
Comuna,GRD persons/year,Empirical-Bayes smoothed standardised ratio,queen,2019,all comunas,342,0.2007,−0.0029,5.50,< 0.001,0.001
Comuna,GRD persons/year,Empirical-Bayes smoothed standardised ratio,queen,2020,all comunas,342,0.1444,−0.0029,3.98,< 0.001,0.001
Comuna,GRD persons/year,Empirical-Bayes smoothed standardised ratio,queen,2021,all comunas,342,0.1860,−0.0029,5.10,< 0.001,0.001
Comuna,GRD persons/year,Empirical-Bayes smoothed standardised ratio,queen,2022,all comunas,342,0.2462,−0.0029,6.73,< 0.001,0.001
Comuna,GRD persons/year,Empirical-Bayes smoothed standardised ratio,queen,2023,all comunas,342,0.3548,−0.0029,9.66,< 0.001,0.001
Comuna,GRD persons/year,Empirical-Bayes smoothed standardised ratio,queen,2024,all comunas,342,0.3125,−0.0029,8.52,< 0.001,0.001
Comuna,REM A05 entries,Empirical-Bayes smoothed standardised ratio,queen,2021,all comunas,342,0.1934,−0.0029,5.30,< 0.001,0.001
Comuna,REM A05 entries,Empirical-Bayes smoothed standardised ratio,queen,2022,all comunas,342,0.1415,−0.0029,3.90,< 0.001,0.005
Comuna,REM A05 entries,Empirical-Bayes smoothed standardised ratio,queen,2023,all comunas,342,0.2375,−0.0029,6.49,< 0.001,0.001
Comuna,REM A05 entries,Empirical-Bayes smoothed standardised ratio,queen,2024,all comunas,342,0.1121,−0.0029,3.11,0.002,0.003
Comuna,REM A05 entries,Empirical-Bayes smoothed standardised ratio,queen,2025,all comunas,342,0.2672,−0.0029,7.29,< 0.001,0.001
Comuna,REM P2 December,Empirical-Bayes smoothed standardised ratio,queen,2019,all comunas,342,0.0850,−0.0029,2.38,0.018,0.016
Comuna,REM P2 December,Empirical-Bayes smoothed standardised ratio,queen,2020,all comunas,342,0.0876,−0.0029,2.44,0.015,0.018
Comuna,REM P2 December,Empirical-Bayes smoothed standardised ratio,queen,2021,all comunas,342,0.0348,−0.0029,1.02,0.309,0.144
Comuna,REM P2 December,Empirical-Bayes smoothed standardised ratio,queen,2022,all comunas,342,0.1064,−0.0029,2.95,0.003,0.008
Comuna,REM P2 December,Empirical-Bayes smoothed standardised ratio,queen,2023,all comunas,342,0.1635,−0.0029,4.50,< 0.001,0.001
Comuna,REM P2 December,Empirical-Bayes smoothed standardised ratio,queen,2024,all comunas,342,0.1286,−0.0029,3.55,< 0.001,0.003
Comuna,REM P2 December,Empirical-Bayes smoothed standardised ratio,queen,2025,all comunas,342,0.1293,−0.0029,3.57,< 0.001,0.001
Comuna,GRD F84 episodes,"Rate per 100,000 population",queen,full period,comunas with ≥5 events,287,0.3254,−0.0035,7.86,< 0.001,0.001
Comuna,GRD F84 episodes,Crude standardised ratio,queen,full period,comunas with ≥5 events,287,0.3400,−0.0035,8.20,< 0.001,0.001
Comuna,GRD F84 episodes,Empirical-Bayes smoothed standardised ratio,queen,full period,comunas with ≥5 events,287,0.3408,−0.0035,8.22,< 0.001,0.001
Comuna,GRD F84 episodes,"Rate per 100,000 population",queen,full period,excluding Metropolitan Region (13),290,0.2253,−0.0035,5.49,< 0.001,0.001
Comuna,GRD F84 episodes,Crude standardised ratio,queen,full period,excluding Metropolitan Region (13),290,0.2538,−0.0035,6.18,< 0.001,0.001
Comuna,GRD F84 episodes,Empirical-Bayes smoothed standardised ratio,queen,full period,excluding Metropolitan Region (13),290,0.3174,−0.0035,7.70,< 0.001,0.001
Comuna,GRD F84 episodes,"Rate per 100,000 population",queen,full period,including non-continental comunas present in the cartography,343,0.2345,−0.0029,6.36,< 0.001,0.001
Comuna,GRD F84 episodes,Crude standardised ratio,queen,full period,including non-continental comunas present in the cartography,343,0.2657,−0.0029,7.20,< 0.001,0.001
Comuna,GRD F84 episodes,Empirical-Bayes smoothed standardised ratio,queen,full period,including non-continental comunas present in the cartography,343,0.3398,−0.0029,9.18,< 0.001,0.001
Comuna,GRD F84 episodes,"Rate per 100,000 population",queen,2024,denominator INE base 2017,342,0.1809,−0.0029,4.96,< 0.001,0.001
