Denominator layer,Dimension,Category,2019,2020,2021,2022,2023,2024,2025
APS enrolled (December stock),Age group,Age not reported,"13,317,162","13,411,283","13,610,504","14,013,125","14,521,246","9,271","3,642"
"INE population (2017-census-based projection, 30 June)",Sex,Males,"18,848,278","19,198,202","19,417,024","19,565,956","19,696,932","19,821,000","19,940,050"
"INE population (2017-census-based projection, 30 June)",Sex,Females,"19,366,154","19,718,418","19,939,702","20,091,170","20,224,846","20,351,754","20,473,856"
FONASA beneficiaries (December stock),Sex,Males,"6,994,917","7,189,752","7,246,170","7,432,827","7,744,672","8,015,233","8,227,554"
FONASA beneficiaries (December stock),Sex,Sex indeterminate,345,414,543,706,"1,008","1,246","1,471"
FONASA beneficiaries (December stock),Sex,Females,"7,846,315","7,952,362","7,987,101","8,180,051","8,484,218","8,735,710","8,903,586"
ISAPRE beneficiaries (December stock),Sex,Males,"1,874,354","1,810,756","1,785,996","1,680,646","1,479,124","1,390,247","1,325,323"
ISAPRE beneficiaries (December stock),Sex,Females,"1,556,613","1,528,217","1,543,990","1,471,066","1,308,991","1,239,649","1,191,808"
ISAPRE beneficiaries (December stock),Sex,Sex not reported,n/e,n/e,268,173,142,130,174
APS enrolled (December stock),Sex,Males,"6,318,191","6,471,831","6,585,039","6,800,193","7,047,060","7,188,118","7,406,505"
APS enrolled (December stock),Sex,Females,"7,276,624","7,413,523","7,515,584","7,721,973","8,004,056","8,164,818","8,384,410"
APS enrolled (December stock),Sex,Sex not reported,"182,236",155,218,298,557,753,947
