Flow,Category,Code,Sex,Age group,2019,2020,2021,2022,2023,2024,2025
Entries,Asperger syndrome,05990023,Males,60–64,n/e,n/e,1 (329),0 (397),1 (397),0 (312),1 (207)
Entries,Asperger syndrome,05990023,Males,65–69,n/e,n/e,0 (329),1 (397),1 (397),0 (312),0 (207)
Entries,Asperger syndrome,05990023,Males,70–74,n/e,n/e,0 (329),0 (397),0 (397),0 (312),0 (207)
Entries,Asperger syndrome,05990023,Males,75–79,n/e,n/e,0 (329),0 (397),0 (397),1 (312),0 (207)
Entries,Asperger syndrome,05990023,Males,80+,n/e,n/e,0 (329),0 (397),0 (397),0 (312),0 (207)
Entries,Asperger syndrome,05990023,Males,Total,n/e,n/e,695 (329),899 (397),858 (397),595 (312),436 (207)
Entries,Asperger syndrome,05990023,Females,0–4,n/e,n/e,15 (329),19 (397),16 (397),9 (312),9 (207)
Entries,Asperger syndrome,05990023,Females,5–9,n/e,n/e,56 (329),60 (397),84 (397),60 (312),33 (207)
Entries,Asperger syndrome,05990023,Females,10–14,n/e,n/e,76 (329),126 (397),155 (397),116 (312),74 (207)
Entries,Asperger syndrome,05990023,Females,15–19,n/e,n/e,47 (329),64 (397),101 (397),74 (312),53 (207)
Entries,Asperger syndrome,05990023,Females,20–24,n/e,n/e,13 (329),21 (397),31 (397),21 (312),22 (207)
Entries,Asperger syndrome,05990023,Females,25–29,n/e,n/e,3 (329),6 (397),11 (397),16 (312),8 (207)
Entries,Asperger syndrome,05990023,Females,30–34,n/e,n/e,0 (329),4 (397),13 (397),10 (312),11 (207)
Entries,Asperger syndrome,05990023,Females,35–39,n/e,n/e,0 (329),1 (397),10 (397),9 (312),4 (207)
Entries,Asperger syndrome,05990023,Females,40–44,n/e,n/e,2 (329),3 (397),9 (397),6 (312),1 (207)
Entries,Asperger syndrome,05990023,Females,45–49,n/e,n/e,1 (329),1 (397),3 (397),1 (312),3 (207)
Entries,Asperger syndrome,05990023,Females,50–54,n/e,n/e,1 (329),1 (397),4 (397),1 (312),2 (207)
Entries,Asperger syndrome,05990023,Females,55–59,n/e,n/e,0 (329),1 (397),2 (397),2 (312),4 (207)
Entries,Asperger syndrome,05990023,Females,60–64,n/e,n/e,0 (329),1 (397),1 (397),0 (312),2 (207)
Entries,Asperger syndrome,05990023,Females,65–69,n/e,n/e,1 (329),0 (397),1 (397),0 (312),0 (207)
Entries,Asperger syndrome,05990023,Females,70–74,n/e,n/e,0 (329),0 (397),0 (397),1 (312),1 (207)
Entries,Asperger syndrome,05990023,Females,75–79,n/e,n/e,1 (329),0 (397),2 (397),0 (312),0 (207)
Entries,Asperger syndrome,05990023,Females,80+,n/e,n/e,0 (329),0 (397),0 (397),1 (312),0 (207)
Entries,Asperger syndrome,05990023,Females,Total,n/e,n/e,216 (329),308 (397),443 (397),327 (312),227 (207)
Entries,Rett syndrome,05990024,Males,0–4,n/e,n/e,12 (58),0 (22),1 (20),1 (13),0 (6)
Entries,Rett syndrome,05990024,Males,5–9,n/e,n/e,41 (58),2 (22),12 (20),0 (13),1 (6)
Entries,Rett syndrome,05990024,Males,10–14,n/e,n/e,11 (58),6 (22),4 (20),1 (13),1 (6)
Entries,Rett syndrome,05990024,Males,15–19,n/e,n/e,11 (58),3 (22),7 (20),0 (13),0 (6)
Entries,Rett syndrome,05990024,Males,20–24,n/e,n/e,3 (58),6 (22),2 (20),1 (13),1 (6)
Entries,Rett syndrome,05990024,Males,25–29,n/e,n/e,4 (58),0 (22),1 (20),0 (13),0 (6)
Entries,Rett syndrome,05990024,Males,30–34,n/e,n/e,9 (58),2 (22),0 (20),0 (13),0 (6)
Entries,Rett syndrome,05990024,Males,35–39,n/e,n/e,1 (58),3 (22),0 (20),0 (13),0 (6)
Entries,Rett syndrome,05990024,Males,40–44,n/e,n/e,7 (58),2 (22),1 (20),1 (13),0 (6)
Entries,Rett syndrome,05990024,Males,45–49,n/e,n/e,5 (58),0 (22),0 (20),0 (13),1 (6)
Entries,Rett syndrome,05990024,Males,50–54,n/e,n/e,7 (58),1 (22),0 (20),0 (13),0 (6)
Entries,Rett syndrome,05990024,Males,55–59,n/e,n/e,2 (58),2 (22),1 (20),0 (13),0 (6)
Entries,Rett syndrome,05990024,Males,60–64,n/e,n/e,2 (58),1 (22),0 (20),0 (13),0 (6)
Entries,Rett syndrome,05990024,Males,65–69,n/e,n/e,2 (58),0 (22),1 (20),0 (13),0 (6)
Entries,Rett syndrome,05990024,Males,70–74,n/e,n/e,2 (58),0 (22),0 (20),0 (13),0 (6)
Entries,Rett syndrome,05990024,Males,75–79,n/e,n/e,6 (58),0 (22),0 (20),0 (13),0 (6)
Entries,Rett syndrome,05990024,Males,80+,n/e,n/e,4 (58),1 (22),0 (20),0 (13),0 (6)
Entries,Rett syndrome,05990024,Males,Total,n/e,n/e,129 (58),29 (22),30 (20),4 (13),4 (6)
Entries,Rett syndrome,05990024,Females,0–4,n/e,n/e,1 (58),0 (22),0 (20),0 (13),0 (6)
Entries,Rett syndrome,05990024,Females,5–9,n/e,n/e,25 (58),1 (22),1 (20),1 (13),0 (6)
Entries,Rett syndrome,05990024,Females,10–14,n/e,n/e,16 (58),8 (22),3 (20),1 (13),1 (6)
Entries,Rett syndrome,05990024,Females,15–19,n/e,n/e,13 (58),5 (22),3 (20),0 (13),2 (6)
Entries,Rett syndrome,05990024,Females,20–24,n/e,n/e,16 (58),4 (22),0 (20),2 (13),4 (6)
Entries,Rett syndrome,05990024,Females,25–29,n/e,n/e,20 (58),5 (22),2 (20),2 (13),0 (6)
Entries,Rett syndrome,05990024,Females,30–34,n/e,n/e,16 (58),2 (22),3 (20),1 (13),1 (6)
Entries,Rett syndrome,05990024,Females,35–39,n/e,n/e,19 (58),4 (22),1 (20),3 (13),1 (6)
Entries,Rett syndrome,05990024,Females,40–44,n/e,n/e,8 (58),5 (22),4 (20),0 (13),0 (6)
Entries,Rett syndrome,05990024,Females,45–49,n/e,n/e,10 (58),3 (22),0 (20),0 (13),0 (6)
Entries,Rett syndrome,05990024,Females,50–54,n/e,n/e,14 (58),1 (22),2 (20),0 (13),0 (6)
Entries,Rett syndrome,05990024,Females,55–59,n/e,n/e,19 (58),4 (22),1 (20),1 (13),1 (6)
Entries,Rett syndrome,05990024,Females,60–64,n/e,n/e,17 (58),2 (22),3 (20),0 (13),1 (6)
Entries,Rett syndrome,05990024,Females,65–69,n/e,n/e,14 (58),0 (22),1 (20),0 (13),0 (6)
Entries,Rett syndrome,05990024,Females,70–74,n/e,n/e,5 (58),1 (22),0 (20),0 (13),0 (6)
Entries,Rett syndrome,05990024,Females,75–79,n/e,n/e,2 (58),2 (22),2 (20),0 (13),1 (6)
Entries,Rett syndrome,05990024,Females,80+,n/e,n/e,10 (58),0 (22),0 (20),0 (13),0 (6)
Entries,Rett syndrome,05990024,Females,Total,n/e,n/e,225 (58),47 (22),26 (20),11 (13),12 (6)
Entries,Childhood disintegrative disorder,05990025,Males,0–4,n/e,n/e,13 (38),0 (24),5 (40),2 (27),3 (21)
