ICD-10 category (3 characters),2019,2020,2021,2022,2023,2024,Total 2019–2024
Q66,15 (0.6%),12 (0.7%),16 (0.7%),26 (0.7%),38 (0.6%),56 (0.6%),163
E88,10 (0.4%),6 (0.4%),12 (0.5%),18 (0.5%),43 (0.7%),73 (0.8%),162
D68,19 (0.8%),14 (0.9%),14 (0.6%),20 (0.5%),29 (0.5%),65 (0.7%),161
Z62 — Other problems related to upbringing,24 (1.0%),9 (0.6%),16 (0.7%),15 (0.4%),34 (0.5%),62 (0.7%),160
Z75 — Problems related to medical facilities and other health care,14 (0.6%),15 (0.9%),15 (0.6%),23 (0.6%),30 (0.5%),61 (0.7%),158
F17,10 (0.4%),7 (0.4%),9 (0.4%),15 (0.4%),39 (0.6%),76 (0.9%),156
K52 — Other noninfective gastroenteritis and colitis,11 (0.5%),16 (1.0%),12 (0.5%),26 (0.7%),46 (0.7%),45 (0.5%),156
F19 — Mental and behavioural disorders due to multiple drug use,9 (0.4%),9 (0.6%),7 (0.3%),11 (0.3%),47 (0.7%),73 (0.8%),156
R10 — Abdominal and pelvic pain,14 (0.6%),14 (0.9%),23 (1.0%),23 (0.6%),33 (0.5%),47 (0.5%),154
S06 — Intracranial injury,4 (0.2%),12 (0.7%),14 (0.6%),26 (0.7%),43 (0.7%),54 (0.6%),153
J31,6 (0.3%),2 (0.1%),10 (0.4%),15 (0.4%),42 (0.7%),77 (0.9%),152
F42,12 (0.5%),9 (0.6%),13 (0.5%),20 (0.5%),41 (0.6%),57 (0.7%),152
N31,10 (0.4%),10 (0.6%),26 (1.1%),15 (0.4%),43 (0.7%),43 (0.5%),147
S02 — Fracture of skull and facial bones,4 (0.2%),16 (1.0%),19 (0.8%),30 (0.8%),33 (0.5%),45 (0.5%),147
I15,15 (0.6%),11 (0.7%),19 (0.8%),17 (0.4%),25 (0.4%),59 (0.7%),146
F94 — Disorders of social functioning with onset specific to childhood,6 (0.3%),7 (0.4%),10 (0.4%),25 (0.6%),35 (0.5%),62 (0.7%),145
"S82 — Fracture of lower leg, including ankle",11 (0.5%),15 (0.9%),18 (0.8%),23 (0.6%),35 (0.5%),42 (0.5%),144
K90,10 (0.4%),14 (0.9%),12 (0.5%),25 (0.6%),37 (0.6%),45 (0.5%),143
H66 — Suppurative and unspecified otitis media,13 (0.6%),6 (0.4%),6 (0.3%),16 (0.4%),36 (0.6%),66 (0.8%),143
R63 — Symptoms and signs concerning food and fluid intake,7 (0.3%),9 (0.6%),19 (0.8%),22 (0.6%),34 (0.5%),50 (0.6%),141
"Q89 — Other congenital malformations, not elsewhere classified",9 (0.4%),9 (0.6%),24 (1.0%),23 (0.6%),33 (0.5%),42 (0.5%),140
K12,27 (1.2%),13 (0.8%),17 (0.7%),13 (0.3%),34 (0.5%),36 (0.4%),140
F12 — Mental and behavioural disorders due to use of cannabinoids,9 (0.4%),9 (0.6%),5 (0.2%),13 (0.3%),44 (0.7%),58 (0.7%),138
N13,10 (0.4%),8 (0.5%),20 (0.8%),20 (0.5%),40 (0.6%),40 (0.5%),138
"Q99 — Other chromosome abnormalities, not elsewhere classified",25 (1.1%),13 (0.8%),8 (0.3%),17 (0.4%),31 (0.5%),43 (0.5%),137
G71 — Primary disorders of muscles,32 (1.4%),31 (1.9%),7 (0.3%),9 (0.2%),29 (0.5%),28 (0.3%),136
S01 — Open wound of head,10 (0.4%),11 (0.7%),19 (0.8%),22 (0.6%),29 (0.5%),45 (0.5%),136
O99,3 (0.1%),6 (0.4%),8 (0.3%),14 (0.4%),39 (0.6%),63 (0.7%),133
N10 — Acute tubulo-interstitial nephritis,12 (0.5%),10 (0.6%),15 (0.6%),18 (0.5%),32 (0.5%),41 (0.5%),128
R00,5 (0.2%),9 (0.6%),16 (0.7%),21 (0.5%),43 (0.7%),32 (0.4%),126
P27,18 (0.8%),13 (0.8%),15 (0.6%),20 (0.5%),34 (0.5%),25 (0.3%),125
R51,11 (0.5%),6 (0.4%),13 (0.5%),18 (0.5%),28 (0.4%),45 (0.5%),121
