Comuna,CUT,Region,A05 entries,A05 smoothed ratio,A05 establishments,P2 December,P2 smoothed ratio,P6 primary,P6 smoothed ratio,A05 data state
Lo Barnechea,13115,Metropolitana,297,0.67,3,13,0.03,158,0.31,reported
San Pedro de Atacama,2203,Antofagasta,19,0.67,2,33,0.76,45,1.03,reported
Putre,15201,Arica y Parinacota,<5,0.67,0,<5,0.33,10,0.98,reported
Navidad,6205,O'Higgins,9,0.66,3,27,0.95,17,0.62,reported
Ránquil,16206,Ñuble,9,0.66,1,14,0.59,43,1.68,reported
La Higuera,4104,Coquimbo,8,0.66,2,70,3.56,27,1.46,reported
Empedrado,7104,Maule,7,0.66,1,44,2.44,16,0.97,reported
Hualqui,8105,Biobío,51,0.66,2,125,1.16,124,1.17,reported
San Rafael,7110,Maule,19,0.65,1,39,0.94,7,0.20,reported
Palmilla,6306,O'Higgins,21,0.65,3,64,1.17,28,0.53,reported
Petorca,5404,Valparaíso,17,0.64,0,79,1.81,43,1.02,reported
Ninhue,16204,Ñuble,7,0.64,1,31,1.40,25,1.16,reported
Calama,2201,Antofagasta,384,0.64,8,300,0.38,"1,143",1.47,reported
Torres del Paine,12402,Magallanes,0,0.62,0,0,0.32,0,0.26,No reporting establishment
Panquehue,5704,Valparaíso,13,0.62,1,93,2.84,18,0.60,reported
Huechuraba,13107,Metropolitana,227,0.61,6,108,0.23,166,0.36,reported
Ñuñoa,13120,Metropolitana,333,0.61,5,509,0.48,299,0.28,reported
Primavera,12302,Magallanes,0,0.61,0,0,0.43,0,0.35,No reporting establishment
Lampa,13302,Metropolitana,294,0.61,5,335,0.59,133,0.24,reported
Nogales,5506,Valparaíso,40,0.60,0,74,0.78,80,0.85,reported
Los Sauces,9206,La Araucanía,11,0.60,0,47,1.53,56,1.84,reported
Litueche,6203,O'Higgins,9,0.60,1,<5,0.14,53,1.88,reported
San Gregorio,12104,Magallanes,0,0.60,0,5,1.51,0,0.36,No reporting establishment
Chanco,7202,Maule,13,0.59,3,20,0.56,25,0.69,reported
Limache,5802,Valparaíso,85,0.59,0,190,0.92,210,1.02,reported
Melipilla,13501,Metropolitana,250,0.59,10,366,0.62,344,0.58,reported
Constitución,7102,Maule,87,0.59,5,469,2.29,427,2.11,reported
Peumo,6112,O'Higgins,22,0.58,1,150,2.44,75,1.25,reported
Renca,13128,Metropolitana,281,0.58,6,449,0.69,403,0.62,reported
