Variable,Category,2019,2020,2021,2022,2023,2024,All GRD episodes 2024
IR_29301_SEVERIDAD,3,349 (15.0%),290 (18.0%),444 (18.8%),777 (20.1%),"1,441 (22.4%)","1,789 (20.5%)","217,624 (20.0%)"
IR_29301_SEVERIDAD,0,331 (14.2%),85 (5.3%),180 (7.6%),350 (9.1%),631 (9.8%),"1,112 (12.7%)","212,051 (19.5%)"
IR_29301_MORTALIDAD,1,"1,462 (62.6%)","1,057 (65.7%)","1,532 (64.7%)","2,404 (62.3%)","3,832 (59.7%)","5,154 (59.0%)","509,445 (46.9%)"
IR_29301_MORTALIDAD,2,364 (15.6%),343 (21.3%),442 (18.7%),681 (17.6%),"1,073 (16.7%)","1,330 (15.2%)","180,092 (16.6%)"
IR_29301_MORTALIDAD,3,177 (7.6%),124 (7.7%),213 (9.0%),424 (11.0%),887 (13.8%),"1,135 (13.0%)","184,210 (17.0%)"
IR_29301_MORTALIDAD,0,331 (14.2%),85 (5.3%),180 (7.6%),350 (9.1%),631 (9.8%),"1,112 (12.7%)","212,051 (19.5%)"
PREVISION_grouped,FONASA MAI B,816 (35.0%),525 (32.6%),807 (34.1%),"1,365 (35.4%)","2,191 (34.1%)","3,095 (35.4%)","529,210 (48.7%)"
PREVISION_grouped,FONASA MAI A,817 (35.0%),622 (38.7%),830 (35.1%),"1,309 (33.9%)","2,239 (34.9%)","2,916 (33.4%)","225,893 (20.8%)"
PREVISION_grouped,FONASA MAI D,337 (14.4%),231 (14.4%),373 (15.8%),590 (15.3%),992 (15.4%),"1,404 (16.1%)","159,612 (14.7%)"
PREVISION_grouped,FONASA MAI C,262 (11.2%),183 (11.4%),269 (11.4%),443 (11.5%),835 (13.0%),"1,094 (12.5%)","139,120 (12.8%)"
PREVISION_grouped,ISAPRE,51 (2.2%),28 (1.7%),49 (2.1%),75 (1.9%),76 (1.2%),94 (1.1%),"5,816 (0.5%)"
PREVISION_grouped,Armed forces and police,13 (0.6%),6 (0.4%),19 (0.8%),36 (0.9%),39 (0.6%),53 (0.6%),"3,931 (0.4%)"
PREVISION_grouped,FONASA free choice,20 (0.9%),2 (0.1%),8 (0.3%),20 (0.5%),33 (0.5%),55 (0.6%),"18,659 (1.7%)"
PREVISION_grouped,Out-of-pocket,10 (0.4%),9 (0.6%),12 (0.5%),21 (0.5%),18 (0.3%),20 (0.2%),"3,533 (0.3%)"
PREVISION_grouped,Not identified,8 (0.3%),3 (0.2%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),39 (0.0%)
NACIONALIDAD_grouped,Chile,"2,267 (97.1%)","1,591 (98.9%)","2,321 (98.1%)","3,794 (98.3%)","6,245 (97.2%)","8,541 (97.8%)","1,019,656 (93.9%)"
