Source,File,Manifest,Manifest SHA-256 (12),Observed SHA-256 (12),SHA match,Manifest bytes,Observed bytes,Bytes match,Manifest date,Manifest note
isapre_communal,isapre_beneficiarios_comuna_2025.xlsx,Autism/metadata/download_manifest.csv,0b810d7438fc,0b810d7438fc,Yes,"797,428","797,428",Yes,2026-09-04,status=downloaded; source_url=https://www.superdesalud.gob.cl/app/uploads/2026/01/estadistica-anual-de-cartera-de-beneficiarios-comunal-2025.xlsx
ine_population_base2017,proyecciones_comuna_edad_sexo_2002_2035_base_2017.csv,Autism/metadata/download_manifest.csv,c2a8847168b2,c2a8847168b2,Yes,"9,768,366","9,768,366",Yes,2026-09-04,status=downloaded; source_url=https://www.ine.gob.cl/docs/default-source/proyecciones-de-poblacion/cuadros-estadisticos/base-2017/ine_estimaciones-y-proyecciones-2002-2035_base-2017_comunas0381d25bc2224f51b9770a705a434b74.csv?sfvrsn=b6e930a7_3&download=true
ine_population_base2017,proyecciones_comuna_area_urbana_rural_2002_2035_base_2017.csv,Autism/metadata/download_manifest.csv,79bc9f79e0e9,79bc9f79e0e9,Yes,"4,779,501","4,779,501",Yes,2026-09-04,status=downloaded; source_url=https://www.ine.gob.cl/docs/default-source/proyecciones-de-poblacion/cuadros-estadisticos/base-2017/estimaciones-y-proyecciones-2002-2035-comuna-y-área-urbana-y-rural.csv?sfvrsn=62ba4af3_4&download=true
ine_censo2024,D1_poblacion_comuna_sexo_edad_quinquenal.xlsx,Autism/metadata/download_manifest.csv,1f3a9c97a1b3,1f3a9c97a1b3,Yes,"505,437","505,437",Yes,2026-09-04,status=downloaded; source_url=https://censo2024.ine.gob.cl/wp-content/uploads/2025/03/D1_Poblacion-censada-por-sexo-y-edad-en-grupos-quinquenales.xlsx
ine_censo2024,P1_Discapacidad.xlsx,Autism/metadata/download_manifest.csv,8de8e537ad3f,8de8e537ad3f,Yes,"581,552","581,552",Yes,2026-09-04,status=downloaded; source_url=https://censo2024.ine.gob.cl/wp-content/uploads/2025/06/P1-Discapacidad.xlsx
ine_base2024_national,estimaciones_proyecciones_nacionales_1992_2070_base_2024.xlsx,Autism/metadata/download_manifest.csv,d7d4e4c8128d,d7d4e4c8128d,Yes,"918,408","918,408",Yes,2026-09-04,status=downloaded; source_url=https://www.ine.gob.cl/docs/default-source/proyecciones-de-poblacion/cuadros-estadisticos/proyecci%C3%B3n-base-2024/estimaciones-y-proyecciones-de-poblaci%C3%B3n-1992-2070_base-2024_base-de-datos.xlsx?sfvrsn=8e7df320_6
deis_rem20,indicadores_rem20.csv,Autism/metadata/download_manifest.csv,055fc5c083fa,055fc5c083fa,Yes,"27,074,590","27,074,590",Yes,2026-09-04,status=downloaded; source_url=https://datos.gob.cl/dataset/a756323f-85ba-4759-87dc-f5d5e63868cc/resource/657cc933-eac8-4bfc-b004-c4d6dcd988a8/download/indicadores_rem20_20260825.csv
deis_rem20,diccionario_rem20.xlsx,Autism/metadata/download_manifest.csv,6feebecdce70,6feebecdce70,Yes,"31,584","31,584",Yes,2026-09-04,status=downloaded; source_url=https://datos.gob.cl/dataset/a756323f-85ba-4759-87dc-f5d5e63868cc/resource/6c7c8a9d-204d-4947-9c8e-82a893fc3f2e/download/diccionario-rem20.xlsx
deis_establishments,establecimientos_salud_vigentes.csv,Autism/metadata/download_manifest.csv,5abb08ced751,5abb08ced751,Yes,"2,500,290","2,500,290",Yes,2026-09-04,status=downloaded; source_url=https://datos.gob.cl/dataset/3bf4cf7c-f638-4735-9a01-f65faae4beca/resource/2c44d782-3365-44e3-aefb-2c8b8363a1bc/download/establecimientos_20260901.csv
deis_establishments,diccionario_establecimientos.pdf,Autism/metadata/download_manifest.csv,b4d9a4919201,b4d9a4919201,Yes,"696,208","696,208",Yes,2026-09-04,status=downloaded; source_url=https://datos.gob.cl/dataset/3bf4cf7c-f638-4735-9a01-f65faae4beca/resource/7127fc99-b858-4e74-8971-51413e484fb1/download/diccionario-de-datos.pdf
endide_2022,endide_2022_adultos_cuidadores_nna.dta.zip,Autism/metadata/download_manifest.csv,648490f083f4,648490f083f4,Yes,"10,981,270","10,981,270",Yes,2026-09-04,status=downloaded; source_url=https://observatorio.ministeriodesarrollosocial.gob.cl/storage/docs/endide/230630_Base_de_datos_ENDIDE_2022_adultos_cuidadores_y_NNA.dta.dta.zip
endide_2022,libro_codigos_endide_2022.pdf,Autism/metadata/download_manifest.csv,9f5182f9b340,9f5182f9b340,Yes,"750,459","750,459",Yes,2026-09-04,status=downloaded; source_url=https://observatorio.ministeriodesarrollosocial.gob.cl/storage/docs/endide/230630_Libro_de_codigos_Base_de_datos_ENDIDE%202022_adultos_cuidadores_y_NNA.pdf
endide_2022,metodologia_diseno_muestral_endide_2022.pdf,Autism/metadata/download_manifest.csv,e7f9a73eb720,e7f9a73eb720,Yes,"786,227","786,227",Yes,2026-09-04,status=downloaded; source_url=https://observatorio.ministeriodesarrollosocial.gob.cl/storage/docs/endide/Documento_Metodologico_ENDIDE_Diseno_Muestral_y_Medicion_Discapacidad.pdf
encavi_2023_2024,ENCAVI_2023_2024.dta,Autism/metadata/download_manifest.csv,8616caea4441,8616caea4441,Yes,"89,315,163","89,315,163",Yes,2026-09-04,status=downloaded; source_url=https://datos.gob.cl/dataset/a20dc607-3319-45ce-8a31-0aa9ed851d2a/resource/dc7ab1fb-5a41-4dbc-8087-b90657bc48fe/download/20250808_encavi_data.dta
encavi_2023_2024,cuestionario_ENCAVI_2023_2024.pdf,Autism/metadata/download_manifest.csv,94deb0cd75f8,94deb0cd75f8,Yes,"1,068,083","1,068,083",Yes,2026-09-04,status=downloaded; source_url=https://datos.gob.cl/dataset/a20dc607-3319-45ce-8a31-0aa9ed851d2a/resource/9a6b84f1-f53a-4ca6-89d2-fa793e40a19c/download/cuestionario_encavi_2023_2024.pdf
encavi_2023_2024,manual_base_ENCAVI_2023_2024.pdf,Autism/metadata/download_manifest.csv,567318987fb5,567318987fb5,Yes,"1,718,704","1,718,704",Yes,2026-09-04,status=downloaded; source_url=https://datos.gob.cl/dataset/a20dc607-3319-45ce-8a31-0aa9ed851d2a/resource/8129372b-aa7b-4c64-b117-7ad7bdcf47fc/download/manual_de_base_de_datos_encavi_2023_2024.pdf
casen_2024,casen_2024.dta,Autism/metadata/download_manifest.csv,5509b7462c3f,5509b7462c3f,Yes,"1,608,073,353","1,608,073,353",Yes,2026-09-05,status=downloaded; source_url=https://observatorio.ministeriodesarrollosocial.gob.cl/storage/docs/casen/2024/casen_2024.dta
casen_2024_metadata,casen_2024_provincia_comuna.dta,Autism/metadata/download_manifest.csv,16ac315fee38,16ac315fee38,Yes,"2,855,219","2,855,219",Yes,2026-09-05,status=downloaded; source_url=https://observatorio.ministeriodesarrollosocial.gob.cl/storage/docs/casen/2024/casen_2024_provincia_comuna.dta
casen_2024_metadata,Libro_de_codigos_Casen_2024.xlsx,Autism/metadata/download_manifest.csv,c78453bb68ca,c78453bb68ca,Yes,"241,945","241,945",Yes,2026-09-05,status=downloaded; source_url=https://observatorio.ministeriodesarrollosocial.gob.cl/storage/docs/casen/2024/Libro_de_codigos_Casen_2024.xlsx
casen_2024_metadata,Libro_de_codigos_Casen_2024_prov_comuna.xlsx,Autism/metadata/download_manifest.csv,74b9a40a81f9,74b9a40a81f9,Yes,"33,945","33,945",Yes,2026-09-05,status=downloaded; source_url=https://observatorio.ministeriodesarrollosocial.gob.cl/storage/docs/casen/2024/Libro_de_codigos_Casen_2024_prov_comuna.xlsx
casen_2024_metadata,Cuestionario_Casen_2024.pdf,Autism/metadata/download_manifest.csv,dc3c3afbdc9e,dc3c3afbdc9e,Yes,"1,301,618","1,301,618",Yes,2026-09-05,status=downloaded; source_url=https://observatorio.ministeriodesarrollosocial.gob.cl/storage/docs/casen/2024/Cuestionario_Casen_2024.pdf
casen_2024_metadata,Diseno_Muestral_Casen_2024.pdf,Autism/metadata/download_manifest.csv,4118b2dbbc88,4118b2dbbc88,Yes,"4,315,989","4,315,989",Yes,2026-09-05,status=downloaded; source_url=https://observatorio.ministeriodesarrollosocial.gob.cl/storage/docs/casen/2024/Diseno_Muestral_Casen_2024.pdf
casen_2024_metadata,Ficha_tecnica_Casen_2024.pdf,Autism/metadata/download_manifest.csv,7e1851f9075c,7e1851f9075c,Yes,"224,673","224,673",Yes,2026-09-05,status=downloaded; source_url=https://observatorio.ministeriodesarrollosocial.gob.cl/storage/docs/casen/2024/Ficha_tecnica_Casen_2024.pdf
