File,Rows,Number of columns,Unit,Declared denominator,Geography,Producing script,Columns
education_summary_year.csv,7,43,n/e,n/e,n/e,05_education.py|06_models.py|08c_figures_triangulation.py|08d_figure_dataflow.py|09a_tables_main.py|15_extra_figures_context.py,year|pie_tea_strict_n|pie_tea_asperger_n|pie_harmonised_n|pie_harmonised_sinaces_n|special_schools_autism_n|pie_total_enrolment_apuntes60_n|pie_total_applicants_sinaces_n|pie_tea_strict_share_of_pie_pct|pie_harmonised_share_of_pie_pct|pie_harmonised_share_of_applicants_sinaces_pct|pie_tea_exceptional_entry_n|pie_harmonised_source|junaeb_parvularia_n_students|junaeb_parvularia_tea_n|junaeb_parvularia_pct_weighted|junaeb_parvularia_pct_weighted_lo|junaeb_parvularia_pct_weighted_hi|junaeb_parvularia_pct_unweighted|junaeb_parvularia_estimable|junaeb_basico1_n_students|junaeb_basico1_tea_n|junaeb_basico1_pct_weighted|junaeb_basico1_pct_weighted_lo|junaeb_basico1_pct_weighted_hi|junaeb_basico1_pct_unweighted|junaeb_basico1_estimable|junaeb_basico5_n_students|junaeb_basico5_tea_n|junaeb_basico5_pct_weighted|junaeb_basico5_pct_weighted_lo|junaeb_basico5_pct_weighted_hi|junaeb_basico5_pct_unweighted|junaeb_basico5_estimable|junaeb_medio1_n_students|junaeb_medio1_tea_n|junaeb_medio1_pct_weighted|junaeb_medio1_pct_weighted_lo|junaeb_medio1_pct_weighted_hi|junaeb_medio1_pct_unweighted|junaeb_medio1_estimable|variant_note|unit_note
fonasa_beneficiaries_comuna_tramo_year.csv,"17,684",11,beneficiaries (December stock),n/e,"comuna of domicile as registered by FONASA | comuna of the APS enrolment centre (place of enrolment, not residence)",03_denominators.py|15_extra_figures_context.py,year|region_raw|cut_region|comuna_raw|cut_comuna|match_method|tramo|inscrito_aps|beneficiaries|unit|geography
fonasa_beneficiaries_comuna_year.csv,"114,429",13,beneficiaries (December stock),n/e,mixed: comuna of the APS enrolment centre for inscritos and comuna of domicile for non-inscritos (NOT homogeneous residence); the split is available only in fon,03_denominators.py|08c_figures_triangulation.py|09b_tables_supplementary.py|15_extra_figures_context.py|15b_spatial_correlation.py|16_extra_tables.py,year|region_raw|cut_region|comuna_raw|cut_comuna|match_method|sex|age_band_raw|age_band_5y|age_band_10y|beneficiaries|unit|geography
fonasa_beneficiaries_national_year.csv,288,5,beneficiaries (December stock),n/e,n/e,03_denominators.py|08c_figures_triangulation.py|09a_tables_main.py|15_extra_figures_context.py,year|dimension|category|beneficiaries|unit
fonasa_schema_by_year.csv,8,21,beneficiaries (December stock),n/e,n/e,03_denominators.py|09a_tables_main.py|09b_tables_supplementary.py|16_extra_tables.py,year|source_archive|member_file|encoding|mes_informacion|columns|n_rows_raw|n_exact_duplicate_rows_kept|count_column|tramo_column|region_column|has_inscrito_aps|has_tipo_asegurado|has_direccion_zonal|has_servicio_salud|age_band_scheme|age_band_5y_derivable|total_beneficiaries|sha256|unit|aggregation_rule
grd_activity_categories_year.csv,16,5,n/e,n/e,n/e,01_grd_core.py,year|tipo_actividad_raw|activity|n_episodes|n_f84_any_con_rett
grd_age_sex_year.csv,"7,776",9,n/e,n/e,n/e,01_grd_core.py|06_models.py|08a_figures_grd.py|08c_figures_triangulation.py|09b_tables_supplementary.py|13_extra_figures_hospital.py|15_extra_figures_context.py|15b_spatial_correlation.py,year|variant|panel|position|activity|sex|age_group|n_f84|n_total_episodes
grd_age_single_year.csv,"12,620",12,GRD episodes,n_cell_total,n/e,lancet_americas/pipeline/11_grd_episode_detail.py,year|variant|position|panel|sex|n_episodes|age_years|age_label|n_cell_total|unit|denominator|script
grd_codiagnoses.csv,"181,964",13,GRD episodes carrying the co-diagnosis,n_f84_episodes_cell,n/e,lancet_americas/pipeline/11_grd_episode_detail.py,year|variant|position|panel|code_position|code3|n_episodes|n_f84_episodes_cell|icd_label_es|pct_of_f84_episodes|unit|denominator|script
grd_codiagnosis_chapters.csv,"9,488",13,GRD episodes carrying the co-diagnosis,n_f84_episodes_cell,n/e,lancet_americas/pipeline/11_grd_episode_detail.py,year|variant|position|panel|code_position|grouping|group_label|n_episodes|n_f84_episodes_cell|pct_of_f84_episodes|unit|denominator|script
grd_coding_depth_year.csv,600,11,n/e,n/e,n/e,01_grd_core.py|08a_figures_grd.py,year|variant|panel|activity|depth_bin|n_total|n_f84_any|share_f84_within_bin|rate_per_100k_episodes|rate_lo|rate_hi
grd_episode_detail_dictionary.csv,11,11,days of stay per episode | GRD index discharges and readmissions | GRD episodes,n_cell_total | n_eligible | n_episodes_cell,n/e,lancet_americas/pipeline/11_grd_episode_detail.py,table|rows|unit|denominator|unit_definition|denominator_definition|coverage|definition_era|source_files|script|columns
grd_episode_features.csv,"20,044",12,GRD episodes,n_cell_total,n/e,lancet_americas/pipeline/11_grd_episode_detail.py,year|variant|position|panel|variable|value|n_episodes|n_cell_total|pct_within_cell|unit|denominator|script
