year,age_group,sex,icd_code,hospitalizations
2021,15-19,Female,F84.1,6
2021,15-19,Female,F84.2,4
2021,15-19,Female,F84.5,15
2021,15-19,Female,F84.8,3
2021,15-19,Female,F84.9,6
2021,15-19,Female,F88,8
2021,15-19,Female,F89,28
2021,15-19,Female,F90.0,74
2021,15-19,Female,F90.1,3
2021,15-19,Female,F90.9,1
2021,15-19,Male,F80,18
2021,15-19,Male,F81,8
2021,15-19,Male,F82,13
2021,15-19,Male,F83,4
2021,15-19,Male,F84.0,150
2021,15-19,Male,F84.1,9
2021,15-19,Male,F84.4,1
2021,15-19,Male,F84.5,46
2021,15-19,Male,F84.8,7
2021,15-19,Male,F84.9,9
2021,15-19,Male,F88,3
2021,15-19,Male,F89,6
2021,15-19,Male,F90.0,91
2021,15-19,Male,F90.1,8
2021,15-19,Male,F90.9,1
2021,20-24,Female,F80,11
2021,20-24,Female,F81,1
2021,20-24,Female,F82,1
2021,20-24,Female,F84.0,9
2021,20-24,Female,F84.1,2
2021,20-24,Female,F84.2,1
2021,20-24,Female,F84.5,10
2021,20-24,Female,F84.8,1
2021,20-24,Female,F84.9,1
2021,20-24,Female,F89,3
2021,20-24,Female,F90.0,6
2021,20-24,Female,F90.8,1
2021,20-24,Male,F80,3
2021,20-24,Male,F81,3
2021,20-24,Male,F83,1
2021,20-24,Male,F84.0,58
2021,20-24,Male,F84.1,4
2021,20-24,Male,F84.3,1
2021,20-24,Male,F84.5,26
2021,20-24,Male,F84.8,3
2021,20-24,Male,F84.9,7
2021,20-24,Male,F89,2
2021,20-24,Male,F90.0,12
2021,20-24,Male,F90.1,1
2021,20-24,Male,F90.9,1
2021,25-29,Female,F80,4
2021,25-29,Female,F81,3
2021,25-29,Female,F83,2
2021,25-29,Female,F84.0,10
2021,25-29,Female,F84.1,1
2021,25-29,Female,F84.5,1
2021,25-29,Female,F84.8,2
2021,25-29,Female,F84.9,1
2021,25-29,Female,F90.0,4
2021,25-29,Male,F81,1
2021,25-29,Male,F83,2
2021,25-29,Male,F84.0,42
2021,25-29,Male,F84.1,4
2021,25-29,Male,F84.5,9
2021,25-29,Male,F84.8,2
2021,25-29,Male,F84.9,6
2021,25-29,Male,F88,2
2021,25-29,Male,F89,3
2021,25-29,Male,F90.0,5
2021,30-34,Female,F80,1
2021,30-34,Female,F81,1
2021,30-34,Female,F83,1
2021,30-34,Female,F84.0,4
2021,30-34,Female,F84.1,2
2021,30-34,Female,F84.2,2
2021,30-34,Female,F84.5,3
2021,30-34,Female,F84.8,1
2021,30-34,Female,F89,1
2021,30-34,Female,F90.0,1
2021,30-34,Male,F80,2
2021,30-34,Male,F82,3
2021,30-34,Male,F84.0,25
2021,30-34,Male,F84.1,5
2021,30-34,Male,F84.5,3
2021,30-34,Male,F84.8,5
2021,30-34,Male,F84.9,2
2021,30-34,Male,F88,1
2021,30-34,Male,F89,1
2021,30-34,Male,F90.0,4
2021,35-39,Female,F80,4
2021,35-39,Female,F82,3
2021,35-39,Female,F83,1
2021,35-39,Female,F84.0,3
2021,35-39,Female,F84.1,1
2021,35-39,Female,F84.5,5
2021,35-39,Female,F84.8,1
2021,35-39,Female,F90.0,1
2021,35-39,Male,F80,1
